編號,來源,漢字
48,tshua-thuan,咱暗時蹛的hoo-thé-luh是五星的，到hoo-thé-luh了後，in會安排房間。安排好勢了後，才來拖行李落車。
49,tshua-thuan,房間內的礦泉水、茶米、咖啡攏免錢。因為環保的關係，逐家愛較儉咧啉。
50,tshua-thuan,房間之間會當互相用電話敲房號來聯絡。若有問題會當敲九號予總機。
51,tshua-thuan,明仔載morning-call是七點，早頓佇二樓中餐廳，早頓的時間是六點到十點。
52,tshua-thuan,早頓食飽，才共行李拖落來一樓的大廳。八點半佇一樓的大廳相等，房卡還予櫃台。咱按算八點四十出發，進行第二工的行程。
53,tshua-thuan,咱逐家出來𨑨迌，加減買寡等路，轉去分親情五十，佮朋友做伙分張。等咧𤆬逐家去踅一寡台灣有名的王梨酥、綠豆膨。
54,tshua-thuan,逐家買進前愛先試食，好食才買，歹食莫買，買轉去無人食嘛拍損。若買較濟，店員會替咱包起來裝箱仔，按呢較好捾，免櫼佇行李箱。
55,tshua-thuan,買食物就是愛試食才會準，若好食的時，才共買。
56,tshua-thuan,這馬閣有半點鐘，逐家自由參觀。
57,tshua-thuan,這馬五點空七，三十三分鐘了後五點四十，咱佇一樓的出口相等。
58,tshua-thuan,人若攏到矣了後，咱才叫車過來共咱載。
59,tshua-thuan,這个所在我會先𤆬逐家參觀，尾仔會留二十分鐘予恁家己踅。
60,tshua-thuan,時間過了足緊呢，咱七工的行程，一目𥍉仔就欲結束矣，逐家出來𨑨迌有歡喜無？
61,tshua-thuan,阮若做了無好，請恁共阮講，通好改善。另外，阮若有啥物優點，歡迎共親情朋友講，叫in來台灣𨑨迌。
62,tshua-thuan,等咧到機場的時陣，車頂的物件、行李，愛提予齊著。若有需要車仔的朋友，落車的所在就有車仔通捒。
63,tshua-thuan,車頂的行李愛提有齊著。毋通袂記得提。
64,tshua-thuan,逐家才綴我la̋i三樓出境大廳，辦理登機手續、團體行李托運。
65,tshua-thuan,最後祝逐家身體健康，萬事如意，有機會才閣來遮𨑨迌。
66,806 頁岩石油發展緊  OPEC地位不保,八百空六篇，頁岩石油發展緊，OPEC地位不保。
67,806 頁岩石油發展緊  OPEC地位不保,世界石油價數自舊年大落，到今無啥起色。
68,806 頁岩石油發展緊  OPEC地位不保,頂期《經濟學人》週刊一篇文章分析講，抽頁岩石油的技術伐大步等等因素看來，油價真可能長期維持目前的水準，石油輸出國家組織(OPEC)扞盤的優勢不再。
69,806 頁岩石油發展緊  OPEC地位不保,較早，若是油價傷䆀，OPEC會決定減產，來捒懸價數。
70,806 頁岩石油發展緊  OPEC地位不保,毋過舊年十一月，油價當咧落的時陣，in並無按呢做，放予伊繼續落。
71,806 頁岩石油發展緊  OPEC地位不保,除了國際政治的考慮，in嘛想欲趁家己輕本，共重本的美國頁岩油逼出市場。
72,806 頁岩石油發展緊  OPEC地位不保,衝擊確實有，一寡美國頁岩油公司袂堪得價數直直落，煞來破產。
73,806 頁岩石油發展緊  OPEC地位不保,毋過講來講去，頁岩油產業比原本想的閣較韌命。
74,806 頁岩石油發展緊  OPEC地位不保,上主要的原因，照這篇文章講，是技術進步，所擺頁岩油產業嘛綴咧發達。
75,806 頁岩石油發展緊  OPEC地位不保,比論講，挖一口井的時間減少一半。
76,806 頁岩石油發展緊  OPEC地位不保,今年逐箍美金的產量，預測會增加六十五pha。
77,806 頁岩石油發展緊  OPEC地位不保,佇今年三月的油價低點，西德州中級原油(WTI)捌落到一桶四十四箍美金，目前起轉來六十箍左右，大部分的頁岩油公司猶閣趁有錢。
78,806 頁岩石油發展緊  OPEC地位不保,文章引用一間顧問公司的講法，未來的價數甚至可能形成一个「頁岩帶」，大概是一桶四十五箍到六十五箍美金之間。若是價數比這个範圍較低，頁岩石油業者會減產；若較懸，in會增產。
79,806 頁岩石油發展緊  OPEC地位不保,若按呢，價數就會時常維持佇這个範圍。
80,806 頁岩石油發展緊  OPEC地位不保,也就是講，用增產減產來影響世界油價，這个關鍵角色一向以來是OPEC咧搬，未來可能就是美國的頁岩油公司，
81,806 頁岩石油發展緊  OPEC地位不保,In毋管是提升產量，抑是壓低成本，攏猶閣真有空間。
82,806 頁岩石油發展緊  OPEC地位不保,文章落尾講，二位數的油價，可能會成做「新常態」。
83,806 頁岩石油發展緊  OPEC地位不保,除非是爆發重大衝突，造成世界上大的一寡油田停止供應，抑是需求雄雄衝懸。
84,806 頁岩石油發展緊  OPEC地位不保,另外一方面，再生能源佮天然氣也咧落價。
85,806 頁岩石油發展緊  OPEC地位不保,看這个範勢，一个予OPEC主導的時代，應該是袂閣轉來矣。
86,807 美國面對Islam國的兩難,八百空七篇，美國面對Islam國的兩難。
87,807 美國面對Islam國的兩難,過激派的組織Islam國(IS)繼續擴張，五月中占領Iraq重要的城市，離首都賰無一百公里。
88,807 美國面對Islam國的兩難,美國愛按怎做？敢著派地面部隊？真濟人主張莫，認為美國派軍顛倒會飼大IS，會害著美國本身的安全。應該予中東在地的國家去戰。
89,807 美國面對Islam國的兩難,而且，遮的中東國家，包括一寡美國的盟友，本身就有嚴重的問題，比如治理傷䆀、貪腐、民族佮教派的衝突，予IS趁這个好時機peh起來。
90,807 美國面對Islam國的兩難,In家己著負起對抗IS主要的責任，毋是放予爛，才欲靠美國來救。
91,807 美國面對Islam國的兩難,作者認為，美國若是派大軍去佮IS直接相戰，顛倒會實現IS的宣傳，
92,807 美國面對Islam國的兩難,講這是一場Muslim對抗美國十字軍的聖戰，刺激四界的Muslim來加入IS，
93,807 美國面對Islam國的兩難,並且嘛致使美國的軍人、每一間大使館，甚至本土的國民攏成做攻擊的目標。
94,807 美國面對Islam國的兩難,In毋是講美國攏莫插代誌，毋過美國的支援應該愛附較嚴格的條件，要求遮的中東國家進行改革，莫予極端主義勾去。
95,807 美國面對Islam國的兩難,事實上，Obama政府一向行這款「對後壁領導」、避免家己去戰的政策，嘛受著真濟批評。
96,807 美國面對Islam國的兩難,進前幾工，《外交政策》的社長David拄好嘛寫文章指出這種做法有真濟風險，包括無法度影響事態的結果，來保證美國的利益，甚至上尾嘛是著替別人拭尻川。
97,807 美國面對Islam國的兩難,地方的核子捙拚、恐怖攻擊湠向全球，這攏是愛提早防範的危機。
98,808 免錢的上貴 面冊拜託收我1箍,八百空八篇，免錢的上貴，面冊拜託收我一箍。免錢的上貴，面冊拜託收我一箍。
99,808 免錢的上貴 面冊拜託收我1箍,人講免錢的上貴，這佇現此時的網路世界來講，真有道理。像Facebook、Google遮的各種的網路服務，予咱用免錢的，其實in是欲收集咱的資料、掌握咱的行為，這就是咱愛付出的代價。
100,808 免錢的上貴 面冊拜託收我1箍,敢講逐家攏無要無緊？抑是無伊法度？
101,808 免錢的上貴 面冊拜託收我1箍,最近美國拄好有一寡新的研究。研究中心調查發現，九十三pha的美國人認為，家己會使決定「siáng」會當提著in的資料，對in來講是重要的代誌。
102,808 免錢的上貴 面冊拜託收我1箍,九成認為，會使予民眾決定「啥物」資訊通予人收集，是重要的。
103,808 免錢的上貴 面冊拜託收我1箍,毋過佇仝一个時陣，煞無啥人相信in會好好保守祕密，嘛無啥放心in會絕對安全。
104,808 免錢的上貴 面冊拜託收我1箍,干焦有七pha的人對網頁頂刊廣告的廠商有信心、十一pha對家己使用的社交媒體有信心。
105,808 免錢的上貴 面冊拜託收我1箍,另外，大學有調查，大眾是毋是願意為著小可錢就來犧牲隱私。
106,808 免錢的上貴 面冊拜託收我1箍,比論講，若是廠商拍折予你，仝一个時陣，佇你毋知的情形下收集你的資訊，這敢有理？有九十一pha的受訪者認為這無理。
107,808 免錢的上貴 面冊拜託收我1箍,研究的主持學者Joseph講，民眾毋是誠實甘願為著小可好處，就來交出個人的資料。
108,808 免錢的上貴 面冊拜託收我1箍,「實際上是一種放棄的心態。」
109,808 免錢的上貴 面冊拜託收我1箍,「美國人感覺，廠商按怎處理抑是收集in的資訊，in無法度控制，只有由在in去。」
110,808 免錢的上貴 面冊拜託收我1箍,講著收集使用者的資訊，Facebook（面冊）是世界上蓋厲害的怪物。
111,808 免錢的上貴 面冊拜託收我1箍,學者最近投稿《New York時報》講，伊甘願納錢使用面冊，共家己資料的主控權挈倒轉來。
112,808 免錢的上貴 面冊拜託收我1箍,社交媒體等免費的網路服務的大問題，就是靠廣告趁錢的商業模式。
113,808 免錢的上貴 面冊拜託收我1箍,為著賣廣告，面冊會控制啥物出現佇咱的主頁、啥物袂。
114,808 免錢的上貴 面冊拜託收我1箍,這已經「攪擾咱佇線頂的互動。」
115,808 免錢的上貴 面冊拜託收我1箍,尤其單純貼廣告已經趁無錢，所以社交媒體愈來愈需要針對個人，共可能對in有效的廣告分別㧣予in，這就表示愛分析使用者的資料、追蹤in的行為。
116,808 免錢的上貴 面冊拜託收我1箍,雖然面冊趁真濟錢，但是引用網路專家Zuckerman所講的，面冊一個月平均對每一个使用者，才趁著兩角美金，這表示靠廣告趁錢的路嘛已經行袂通a。
117,808 免錢的上貴 面冊拜託收我1箍,面冊應該愛開放予使用者納錢，伊相信有幾若億的用戶佮伊仝款，願意逐個月付一箍美金，
118,808 免錢的上貴 面冊拜託收我1箍,「做一个消費者，毋是一項產品。」
119,808 免錢的上貴 面冊拜託收我1箍,毋過話講倒轉來，遮的免費的網路服務，嘛毋但是趁廣告錢爾爾。
120,808 免錢的上貴 面冊拜託收我1箍,這幾年來，巨量資料佮人工智慧雄雄發展甲真驚人，上主要的就是靠網路使用者上傳的濟濟內容。
121,808 免錢的上貴 面冊拜託收我1箍,《經濟學人》五月中的報導有舉一个例，Microsoft有研發出一種個人軟體，已經會曉分別兩種足成的狗仔，共你講佗一隻是佗一種。
122,808 免錢的上貴 面冊拜託收我1箍,毋過話講倒轉來，遮的免費的網路服務，嘛毋但是趁廣告錢爾爾。
123,808 免錢的上貴 面冊拜託收我1箍,未來，個人資料和紀錄的收集佮利用愈來愈厲害、愈複雜，個人對本身隱私的主控權，恐驚是愈歹掌握。
124,809 同性婚合法化 閣來看澳洲,八百空九篇，同性婚合法化，閣來看澳洲。
125,809 同性婚合法化 閣來看澳洲,Ireland頂個月公民投票通過同性婚合法化，有鼓勵著全世界的同性戀人權運動，
126,809 同性婚合法化 閣來看澳洲,紲落幾個月，澳洲凡勢嘛會變天。
127,809 同性婚合法化 閣來看澳洲,國會預定佇年底進前投票決定。
128,809 同性婚合法化 閣來看澳洲,這馬，大部分的民意支持同性婚，只是有真濟國會議員猶閣咧觀望。
129,809 同性婚合法化 閣來看澳洲,領導保守聯盟的澳洲總理Tony Abbott本人反對同性婚姻，毋過贊成開放伊的自由黨的議員照家己的意思投票。
130,809 同性婚合法化 閣來看澳洲,只不過這佮聯盟內底其他黨派的意見有相牽連。
131,809 同性婚合法化 閣來看澳洲,若是真正開放投「良心票」，通過修法來承認同性婚的機率會較大。
132,809 同性婚合法化 閣來看澳洲,在野的工黨內底，有九成九的議員攏支持同性婚。
133,809 同性婚合法化 閣來看澳洲,進前綠黨佮Abbott自由黨的同事攏已經提出支持同性婚合法的法案。
134,809 同性婚合法化 閣來看澳洲,六月初工黨閣提出一案，hông批評是欲來割稻仔尾，顛倒會拍歹共識，變成政黨相爭。
135,809 同性婚合法化 閣來看澳洲,澳洲廣播公司（ABC）的一篇分析文章講，若是會當閣撨出一个跨黨派的第四案，莫一黨一案，改革會較有贏面。
136,809 同性婚合法化 閣來看澳洲,頂年七月，一間研究公司做的民調講，七十二pha的澳洲人支持同性婚合法化。這个比例比十年前增加強欲一倍。
137,809 同性婚合法化 閣來看澳洲,國會議員咧？
138,809 同性婚合法化 閣來看澳洲,英國《衛報》的澳洲版最近隨个仔隨个訪問下議院全部的一百五十位議員，若是開放投良心票，in的立場會啥款。
139,809 同性婚合法化 閣來看澳洲,頂禮拜三公佈結果，有六十三个贊成同性婚合法、四十个反對，毋過猶未決定抑是表態的人嘛真濟，有四十七个，到時的輸贏猶閣真歹講。
140,809 同性婚合法化 閣來看澳洲,既然支持改變的民意超過七成，是按怎政治人物猶閣綴袂著？
141,809 同性婚合法化 閣來看澳洲,頭前講著的民調公司負責人共英國廣播公司（BBC）講，一寡議員對保守勢力傷過驚惶。
142,809 同性婚合法化 閣來看澳洲,伊講：「保守的基督教團體吵甲真大聲，毋過講較白的in是無幾隻貓仔，無啥要緊。」
143,809 同性婚合法化 閣來看澳洲,工黨的副領袖嘛講，並毋是所有的天主教徒攏反對同性婚。
144,809 同性婚合法化 閣來看澳洲,佇咧吵甲當熱的時陣，有一對已經結婚十冬的翁仔某宣佈，若是國會通過同性婚合法，in就欲離緣來表示抗議。
145,809 同性婚合法化 閣來看澳洲,蹛佇首都Canberra的Jensen翁仔某講，若準國家欲改變婚姻的定義，欲承認同性的關係，就觸犯著原本上帝神聖的旨意，in才無愛插潲彼種新的定義咧。
146,809 同性婚合法化 閣來看澳洲,澳洲國會捌佇二空一二年表決同性婚合法化的議題，贊成派輸甲褪褲。
147,809 同性婚合法化 閣來看澳洲,ABC的分析認為，以現在國內外贊成派攏遐爾仔有勢面來看，這擺投票的結果凡勢會無仝，上緊可能佇八月就會過關。
148,810 教宗成做左派領袖？,八百十篇，教宗成做左派領袖？教宗成做左派領袖？
149,810 教宗成做左派領袖？,教宗Francis六月十八發佈「通諭」，呼籲世界共同對抗氣候變化。
150,810 教宗成做左派領袖？,毋但按呢，伊閣真大聲咧批評追求「短期佮私人利益」的消費主義，
151,810 教宗成做左派領袖？,伊予評論者寫講「羅馬天主教廷這馬是一粒一的資本主義批判者」。
152,810 教宗成做左派領袖？,這句是英國《衛報》的專欄作家的理解，伊嘛是一个英國國教的教區牧師。
153,810 教宗成做左派領袖？,伊閣寫講「當左派佇全世界失去權威，教廷又閣講話有聲」。
154,810 教宗成做左派領袖？,教宗英文版的通諭有三萬七千外字。照Fraser的摘要，咱人受著濟濟的慾望束縛，
155,810 教宗成做左派領袖？,資本主義欲來滿足遮的慾望，無去分啥物是人真正「需要」的、啥物只是人「想欲愛」的，
156,810 教宗成做左派領袖？,這兩項的差別就可比救命藥仔佮電動𨑨迌物。
157,810 教宗成做左派領袖？,「市場」無管這，對伊來講攏是「選擇」；市場嘛無欲管各種選擇對公共利益抑是地球生態有啥物款影響，干焦欲做伊有閣較濟的選項。
158,810 教宗成做左派領袖？,過度消費的後果，就是予地球變做一个糞埽桶。
159,810 教宗成做左派領袖？,面對這个問題，經濟學家嘛變無步。
160,810 教宗成做左派領袖？,地球的資源是有限的，毋過主流的經濟模式攏假設成長會當無限。
161,810 教宗成做左派領袖？,教宗的呼籲，就是咱人袂當直直痟貪落去，愛知影撙節。
162,810 教宗成做左派領袖？,通諭內底無直接用著「資本主義」這个詞，毋過真濟擺唱名「市場」，
163,810 教宗成做左派領袖？,比如：「市場竟然信篤只要增加公司佮個人的利益，就會當解決問題，咱愛拒絕這種想法」、
164,810 教宗成做左派領袖？,「為著銷路，市場大力推捒極端的消費主義，予人一時仔就隨牢佇無必要的開銷」。
165,810 教宗成做左派領袖？,《衛報》的社論講，這是百年來上蓋予人想袂到、嘛可能是上蓋有氣魄的教宗文件，
166,810 教宗成做左派領袖？,毋但是對天主教徒抑是基督教徒講話，嘛是講予地球頂的每一个人聽。
167,810 教宗成做左派領袖？,猶毋是逐个人攏會聽，親像美國共和黨佮石油界的幾若个頭人就倒彈ā。
168,810 教宗成做左派領袖？,總是，以教宗的地位，對拖棚的聯合國氣候談判會當發揮偌大的影響力，逐家猶是真好玄。
169,鐵路,各位旅客，有需要補票的無？
170,鐵路,列車咧欲進站ā，請離開月台邊仔，較袂危險。
171,鐵路,正爿開門。落車進前，請注意車廂佮月台中央的縫，毋通落lue̋縫lìn。
172,鐵路,後一站吉安，請欲落車的旅客攢好家己的行李，準備落車。
173,鐵路,本列車的終點站台東咧欲到矣，若欲去台北的旅客，請佇本站盤車。
174,鐵路,本列車是一空一九車次，經由山線開往高雄的自強號列車，欲往後lâng、苑裡海線的旅客，請佇本站盤車。
175,鐵路,車欲開囉。猶未上車的旅客請趕緊上車。
176,鐵路,十點三十三分開往斗六的車佇二A月台咧欲開囉，欲坐這幫車的旅客請緊去二A月台上車。
177,鐵路,各位旅客，請問siáng有糞埽欲擲無？
178,鐵路,各位旅客你好，這馬咱欲開始驗票矣，請共你的車票提出來，勞力！
179,鐵路,欲落南的旅客，請佇三B月台等車。
180,鐵路,欲落南的旅客，請準備佇四B月台上車。
181,鐵路,想欲上北的人，請佇第一月台等車。
182,鐵路,欲上北的旅客，請去第三月台上車。
183,鐵路,你好，我是五二三四車次的車長，有旅客問講敢有人佇竹南站的進站口抾著一張青色的信用卡？多謝。
184,鐵路,敬祝恁健康快樂，萬事如意，再會。
185,鐵路,這馬欲入站的是Ta-lú-kuh號，毋是這幫車的旅客毋通上車，才袂予人加罰五十pha的車錢。
186,電影院,逐家好，電影咧欲開始搬a。
187,電影院,佇搬演進前，請拜託共你的手機仔禁起來。
188,電影院,才拜託毋通攝影、錄音，以免違法。
189,電影院,出口佇本廳門口的倒手爿，多謝恁惠顧。
190,角花仔佮素花仔,角花仔佮素花仔，洪錦田。海翁台語文學月刊第一百空八期。
191,角花仔佮素花仔,角花仔，是一領色水鮮豔的tsa̋u囡仔小洋裝，伊掛佇店頭的玻璃櫥仔內底。
192,角花仔佮素花仔,這領衫的中逝，紩七粒金色的鈕仔，閃閃爍爍，足唌人目的；下裙繡兩隻白兔仔，足古錐的。
193,角花仔佮素花仔,按呢的花草，毋知唌倒偌濟愛穿媠的tsa̋u囡仔咧？毋過掛欲規月日，攏無人來交關。
194,角花仔佮素花仔,有一工，來一个穿插蓋高尚的中年婦人人，牽伊的查某囝對店頭行過。
195,角花仔佮素花仔,「母仔！你看咧！足媠足古錐的洋裝呢！……人欲挃這軀啦……」，tsa̋u囡仔指對玻璃櫥內底。
196,角花仔佮素花仔,「好矣啦！莫吵！咱閣來去看猶有較媠的無？」阿母按呢共講。
197,角花仔佮素花仔,「毋啦！人較佮意這領啦！好心咧啦，阿母……」，tsa̋u囡仔予老母共喝止，煞張張掣掣，那講那吼……
198,角花仔佮素花仔,「好、好、好啦！阿妙乖──咱就買這軀好啦！莫吼乎，乖──」。
199,角花仔佮素花仔,老母共囡仔騙恬囉，就按呢角花仔，就成做阿妙上惜的一領洋裝。
200,角花仔佮素花仔,角花仔hông拍派，帶入去阿妙的衫櫥仔內。衫櫥仔早就狹櫼櫼a，毋過阿妙共huâi舊漚臭的衫仔裙，攏捒一邊，留一大位予角花仔通跔；
201,角花仔佮素花仔,主人一下共倖，致使角花仔對遮的舊厝邊，誠看無上目。
202,角花仔佮素花仔,自伊綴阿妙了後，見擺若欲出外的時陣，攏予阿妙穿牢牢，因端是角花仔的款樣，攏予人足呵咾的，一寡tsa̋u囡仔伴會sânn倚來……，毋才會阿妙愈來愈佮意角花仔；
203,角花仔佮素花仔,Iah角花仔煞變甲足目頭懸，臭煬塊塊，攏袂癮佮huâi舊厝邊相借問。
204,角花仔佮素花仔,「角花仔，你有影足媠的liòo！阮攏足欣羨、足佮意你liòo……」，運動衫開喙共呵咾。
205,角花仔佮素花仔,「哎iah！Tsiâ欲愛你佮意咧，你咧媠面！莫傷並倚來őo ……離較開咧較無蠓……」，角花仔那講那徙跤。
206,角花仔佮素花仔,「角花仔，莫遐孤khu̍t啦！逐家攏是厝邊兜，好朋友呢……」褲裙看袂做得，就共踏話囉……
207,角花仔佮素花仔,「Tsiâ佮你是好朋友！活欲衰著。佮你這款褲毋成褲，裙毋成裙，像半陰陽的，愈看愈㤉，â ……閃、閃啦！」角花仔講出呸瀾的話。
208,角花仔佮素花仔,「莫吵好毋！活欲齪死……」，彼爿當咧唔唔睏的拍鐵仔褲大的，忍袂牢、大喝一聲。一時的，聲說攏恬去……；
209,角花仔佮素花仔,角花仔佇幽靜的衫櫥仔內，恬恬仔ti̋回想：哈、哈、阮阿妙生日彼一工眾人誠共呵咾，講看伊彼款純真，活骨，足歡喜的款曲，蹛塗跤兜連踅幾若輾咧hông看，像一隻蝶仔飛起飛落，人阮的心情嘛綴伊清彩起來……
210,角花仔佮素花仔,「阿母啊！足媠的呢！感謝你喔！」角花仔佇衫櫥仔內，聽阿妙咧共in母仔說謝……
211,角花仔佮素花仔,猶毋過毋知為啥代，予阿妙遮歡喜著。目𥍉仔，衫櫥仔hông開開矣，阿妙手裡提一領純白色的洋裝，胸前紩一粒實腹、金爍爍、金雞心型的金片；
212,角花仔佮素花仔,絲質透明的手䘼，閣釣一隻幼秀的蝶仔結，裙裾閣kún一沿有花草的lueh-sù，看lő樸真閣大方。
213,角花仔佮素花仔,阿妙出一下力，掰開洗了閣洗的舊衫，共這軀純白色的洋裝，掛佇角花仔的邊仔，喙䫌浮出笑微微的面容，才閣共門關好勢。
214,角花仔佮素花仔,角花仔一看，用吐地邪眼的表情，掠這个新厝邊金金看……
215,角花仔佮素花仔,「喂！白衫番啊！你對佗位來的？我一下佮你對目，就感覺足刺鑿著……」，角花仔講著話是一款足臭火、足無細膩的氣口。
216,角花仔佮素花仔,「喔！歹勢啦！我號做素花仔，初見面……，誠歡喜佮你做厝邊……」，素花仔有禮有教咧共回答。
217,角花仔佮素花仔,「素花仔！哼！莫傷kheh倚來 ôo，看你規身軀白透龍的，毋知有病抑無咧……？」角花仔直共搖手，閣兼掰手，表示袂癮佮伊握手。
218,角花仔佮素花仔,「對不住啦！我毋知佗落得失著你乎……？」素花仔誠細膩按呢共應。
219,角花仔佮素花仔,「嘿！你來到這搭，就是得失著我矣。好矣！莫囉唆、我無想欲佮你答喙鼓……」角花仔講煞，隨越頭做伊摔大眠ā。
220,角花仔佮素花仔,幾禮拜了後，阿妙的阿舅欲娶某矣，阿妙就揀素花仔來穿，佇落地鏡面頭前，phîn啊phîn、照啊照，那照那笑獅獅。
221,角花仔佮素花仔,Ua̋！感覺家己足成一个公主咧；猶毋過，這款的情況，予角花仔看著，愈看愈起䆀毛、起㤉目。
222,角花仔佮素花仔,有一工，佇一个機緣，角花仔佮素花仔同齊佇洗衫機內底，鬥陣洗身軀；
223,角花仔佮素花仔,角花仔看素花仔，人伊一身軀白sut-sut，予主人阿妙共tshuā出tshuā入，足目空赤的，一時的起妒賢，伊就想一齣奸詭步，欲予素花仔好看。
224,角花仔佮素花仔,佇洗衫機內底，伊就下性命弄家己的衫佮裙，予色水攏吐吐出來，順著衫槽khut仔tih轉踅的當中，七噴八噴，三𪐞四𪐞，𪐞甲素花仔規身軀全是五彩色的、花巴哩貓。
