編號,來源,漢字
2096,三連音,表面講無輸，我看乎其實是輸甲忝忝忝啦！
2097,三連音,伊共紅嬰仔抱甲牢牢牢，
2098,三連音,咱兩人是上好的啊，一定愛攬予牢牢牢。
2099,三連音,聽講阮翁佮恁翁，攏予伊電甲金金金喔！
2100,三連音,規身軀洗甲芳芳芳。
2101,三連音,新衫穿甲媠媠媠，恭喜恭喜來拜年
2102,三連音,衫櫥佮冊櫥會當用甲久久久。
2103,三連音,頭殼一癗膨膨膨，囡仔吼甲若咧霆雷公。
2104,三連音,長尾山娘烏頭鬃，胭脂抹甲紅紅紅
2105,三連音,熱人的荔枝甜甜甜，
2106,三連音,魚仔的搖笱，是深深深的大海。
2107,三連音,鳥仔的搖笱，是柔柔柔的樹椏。
2108,三連音,風吹的搖笱，是綿綿綿的白雲。
2109,三連音,摺飛行機愛頂真，對甲準準準，摺甲齊齊齊。
2110,三連音,煩惱的滋味若像原味的咖啡苦苦苦。
2111,三連音,驚惶的滋味若像厚味的薑母汁薟薟薟。
2112,三連音,好食物囥佇冰箱冰甲鮮鮮鮮。
2113,三連音,若欲比花，免講嘛是我紅紅紅的花，色水媠閣迷人。
2114,三連音,無尾熊肥肥肥，睏佇樹頂誠古錐。
2115,三連音,冬天的雪白白白
2116,三連音,烏醋鼻著酸酸酸，
2117,三連音,麻糍食著軟軟軟，
2118,三連音,金棗若熟黃黃黃。
2119,三連音,伊駛車真細膩，Ha̋n-tóo-luh扞甲在在在
2120,三連音,雞僆仔的雞髻紅紅紅，目睭光光光。
2121,三連音,我欲睏甲晏晏晏才起來！
2122,三連音,烏枋樹生甲青青青，徛甲直直直，經過的人攏會攑頭共伊看一下。
2123,三連音,媽媽抱囝惜惜惜。
2124,三連音,花園內底玉蘭開花芳芳芳
2125,三連音,冰角冷冷冷哺著起畏寒
2126,三連音,果子園內的菝仔猶未熟，食著澀澀澀。
2127,三連音,阿忠個性槌槌槌，攏毋知變竅。
2128,三連音,伊的鼻仔予蜂叮一下腫腫腫。
2129,三連音,你實在是戇戇戇，hông騙閣毋知。
2130,三連音,阿姊抹粉那抹壁，漆甲白白白。
2131,三連音,這个老人快快樂樂活到老老老。
2132,三連音,甘蔗食著甜甜甜會飫喙。
2133,三連音,這馬講啥物代誌攏嘛準準準喔！
2134,三連音,你看你的頭殼圓滾滾、光光光。
2135,三連音,這層代誌我攏放甲離離離，根本都袂記得有這層代誌矣！
2136,三連音,阮會綴音樂的旋律，共這首臆謎猜的囡仔歌接甲準準準，一點仔都袂重耽去。
2137,三連音,我的風吹愛有長長長的尾溜喔！
2138,三連音,到今猶無閣拄過，較加嘛記甲牢牢牢，毋敢共拍交落去。
2139,三連音,人客不時都插插插，若拍蜂咧。
2140,三連音,溪水清清清，看會著魚仔佇水底泅
2141,三連音,伊共番薯崁甲密密密，予燒氣較袂傷緊散。
2142,三連音,阿爸投資失敗，了甲塗塗塗。
2143,三連音,燒酒一喙一喙啉落喉，一睏仔就茫茫茫。
2144,三連音,足涼的！我的手嘛欲沖予涼涼涼！
2145,三連音,以我的速度用三分鐘行到對面坐車猶赴赴赴，
2146,三連音,四面八方的連炮一捾接一捾，圍甲密密密。
2147,三連音,阿母笑甲喙仔裂裂裂。
2148,三連音,阮的學校真大間，教室濟濟濟，運動埕闊闊闊。
2149,三連音,囡仔褪甲光光光佇大圳溝耍水。
2150,三連音,伊的身軀長長長，一節一節，有窗閣有門。
2151,三連音,椰子樹生做懸懸懸
2152,三連音,榕仔樹鬚發甲長長長
2153,三連音,茄苳樹皮摸著粗粗粗
2154,三連音,溪水濁濁濁，物件跋落攏看無
2155,三連音,水筆仔生甲直直直；
2156,三連音,抗氧化劑，斤兩攏無共咱偷，摻甲足足足。
2157,三連音,用煠的正港好料下港粽食著𩚨𩚨𩚨閣芳芳芳。
2158,三連音,阿兄有咧練深跍，規枝大腿仁仁仁。
2159,三連音,茄仔色幼秀的苦楝仔花，恬恬開佇咧藍藍藍的三月天
2160,三連音,親人的愛猶是滿滿滿，伊猶原是彼个我上意愛的模樣。
2161,三連音,雲林的塗肉肥肥肥，種出來的農作物媠媠媠。
2162,三連音,𪜶手伸甲直直直欲討糖含仔。
2163,三連音,我佮三个小弟六年貼貼貼攏紮便當。
2164,三連音,葉仔生甲茂茂茂閣青ling-ling，
2165,三連音,鞋箱仔的鞋櫼甲飽飽飽、
2166,三連音,若毋甘做一擺共物件擲甲離離離，就分做兩、三擺來處理。
2167,三連音,天星是遐爾仔近，天河看甲清清清。
2168,三連音,日頭大大大，草仔曝甲焦焦焦，
2169,三連音,公路邊兩爿的枇杷樹葉仔闊闊闊、密密密，
2170,三連音,阿母一个面是紅紅紅，袂輸關公咧。
2171,三連音,這間店不管時人客都攏滇滇滇。
2172,三連音,總算袂閣怨嘆伊無共我的頭殼型生予圓圓圓。
2173,三連音,若到歇睏日排隊交關的人是插插插。
2174,三連音,規籠弓蕉攏青青青無熟的，
2175,三連音,物件若食過了後隨人攏嘛恬恬恬，無人敢假痟。
2176,三連音,飛行傘予風弓甲開開開，
2177,三連音,路面若籠床佇咧炊粿熁熁熁，
2178,三連音,共規隻雞用葉仔包甲密密密。
2179,三連音,阿母誠有智慧，用這招予我離灶跤遠遠遠
2180,三連音,佇燒hut-hut的熱人，跳入去清清清的水池仔。
2181,三連音,兩丸跤肚仁肉肉肉，一看就是作穡人的歹命種。
2182,三連音,用布巾仔包咧順紲拍一个活結，縛予絚絚絚
2183,三連音,虹會佇天頂畫大大大的半个圓箍仔。
2184,三連音,魚脯哺起來鹹纖仔鹹纖芳芳芳。
2185,三連音,阿舅共牛索仔搝甲絚絚絚，
2186,三連音,牛恬恬恬，大大蕊的目睭輾落大大滴的目屎。
2187,三連音,看著門頂的「信箱」櫼甲滇滇滇，
2188,三連音,粟鳥仔毛膨膨膨，身軀圓圓圓，有夠古錐。
2189,三連音,阿球共三葩葡萄按色緻的深佮淺排甲彎彎彎。
2190,三連音,遮有闊闊闊的大埕。
2191,三連音,代誌予伊臆甲著著著
2192,三連音,你大嚨喉空，講啥隔壁攏聽甲明明明。
2193,三連音,阮安全措施做甲齊齊齊，做你放心。
2194,三連音,踢一下規个刺波煞爛甲𣻸𣻸𣻸，
2195,三連音,有一抱烏烏烏頭鬃的少女，
2196,三連音,來種幾欉仔豔豔豔黃錦錦的秋菊邊仔，
2197,三連音,麭交落去予車軋甲平平平，
2198,三連音,平時仔囥咧成禮拜，若摻一寡配料，會當擋欲到一禮拜外外外
2199,三連音,大石頭附近的樹仔攏予人剉甲光光光，
2200,三連音,大石頭倚靠的山坪予人挖甲平平平，
2201,三連音,我手裡的圓仔挲甲圓圓圓，
2202,三連音,像玫瑰佇日頭跤開甲媠媠媠，唌蝴蝶飛來飛去
2203,三連音,共糖膏抽做一條長長長，若像大頭拇遐粗的糖條。
2204,三連音,喙含奶頭久久才欶一下，敢若睏甲眠眠眠
2205,三連音,伊目睭金金相，親像欲共歹人的面模仔記予牢牢牢！
2206,三連音,蟬仔聲牽甲長長長，規陣袂輸咧霆雷公
2207,三連音,阿鳳彼領薄薄薄的花仔衫，已經予汗浸佇身軀頂。
2208,三連音,伊講甲喙角全泡佇咧展，阮是聽甲一對耳仔覆覆覆
2209,三連音,向望兩个老的老康健，食到老老老。
2210,三連音,我的食福痣是對對對。
2211,三連音,厝宅予大石硩甲扁扁扁
2212,三連音,戶橂頭彼粒大石予雨水滴甲一空深深深，
2213,三連音,日頭無出來，海水嘛無光彩，殕殕殕
2214,三連音,面賰一粒仔囝，身體大大大！
2215,三連音,貨車內滿滿滿的物件攏是銷袂出去的庫存。 
2216,三連音,貨底卸甲空空空
2217,三連音,好額人錢袋仔是滇滇滇，
2218,三連音,看伊騰騰騰、大大範行上台
2219,三連音,我起跤共一粒石頭仔踢予遠遠遠。
2220,三連音,伊會共水吸予飽飽飽，袂予水隨沖落來變做塗石流
2221,三連音,伊的生產過程攏有身份證會使看甲明明明。
2222,三連音,伊的豆花食佇喙裡綿綿綿，有淡薄仔甜甜閣清芳的滋味
2223,三連音,阮遮四箍圍仔不時有花草芳，連塗嘛肥肥肥。
2224,三連音,看你規身軀的毛白白白，敢若親像一粒菜頭
2225,三連音,彼坵菜園仔的九層塔規欉發甲旺旺旺、青ling-ling。
2226,三連音,港口的人已經𤲍甲實實實。
2227,三連音,看著體檢報告頂濟濟濟的紅字，真後悔共身體拍翸甲按呢！
2228,三連音,經營公司無認真，歸尾嘛是本錢了了了。
2229,三連音,認真開用，免三年就開甲焦焦焦。
2230,三連音,頭家共桌仔排甲齊齊齊，準備開店做生理
2231,三連音,坎仔兩爿的指甲花開甲豔豔豔，
2232,三連音,伊足𠢕拖沙，就愛等到時間倚倚倚才會甘願出門。
2233,三連音,規條路的水溝仔空予糞埽窒甲滇滇滇。
2234,三連音,跤手面予日頭曝甲紅紅紅，
2235,三連音,自信予你徛甲騰騰騰！
2236,三連音,我烏㽎㽎的頭毛對目眉面頂到後擴攏鉸甲齊齊齊，
2237,三連音,排佇插插插的人群內底，等買一枝枝仔冰
2238,三連音,這張紙是啥人鉸甲花花花。
2239,三連音,䖙佇涼涼涼的冷氣跤，連鞭就睏甲毋知人
2240,三連音,𪜶不管時都發甲茂茂茂，定定開真媠的花蕊予阮欣賞。
2241,三連音,有的囡仔喙脣猶原合甲絚絚絚，毋知咧張啥貨。
2242,三連音,缺喙食蜊仔肉，即時峇峇峇。
2243,三連音,我問講遮濟粒金斗排甲實實實，是對佗來的？
2244,三連音,阿媽提捾跤舊舊舊的古早皮箱。
2245,三連音,我見若看著阿公的歹面腔，就緊閃甲遠遠遠。
2246,三連音,內底的人客櫼甲洘洘洘，
2247,三連音,共膨鼠尾曝焦，膨膨膨的毛會當提去賣
2248,三連音,一𥐵仔炒甲酥酥酥的塗豆配酒上合味
2249,三連音,Pānn-pu這種冰食著綿綿綿，口感佮枝仔冰無仝
2250,三連音,烏豆沙餡綿綿綿、鬆鬆鬆，入喙就隨化去。
2251,三連音,伊有兩齒大暴牙，暴暴暴䆀糊糊。
2252,三連音,七腳戲，報萬兵，了一下家伙清清清。
2253,三連音,共伊修理一下金金金。
2254,三連音,考試毋準備，到尾仔攏塗塗塗，
2255,三連音,大賣場的廣告單逐本都厚厚厚，濟甲若山咧
2256,三連音,日本兵仔佮軍艦輸甲忝忝忝。
2257,三連音,彼隻烏鴉仔烏烏烏的喙䫌也𪐞一屑仔紅。
2258,三連音,小可代誌伊嘛會講到山懸水牛大，予人聽到耳仔崎崎崎。
2259,三連音,走無路的花規氣將頭犁犁犁，見著雨水坐清規身軀的刺疫
2260,三連音,這陣伊較落衰，逐个攏閃甲離離離
2261,三連音,跛跤的佮破相的做親情，峇峇峇，毋通傷嫌啦！
2262,三連音,長尾山娘相準準，一支尖尖尖的喙當欲對伊啄落去。
2263,三連音,烏鴉喙講甲對對對。
2264,三連音,生理塗塗塗，店嘛倒矣
2265,三連音,好好一條直直直的大路你毋行，偏偏欲彎來斡去來折磨家己
2266,三連音,庄跤鳥鼠驚甲喙仔開開開，
2267,三連音,對八字的講法千萬毋通信信信。
2268,三連音,斧頭刜落去拄好正正正共柴枋刜做兩橛
2269,三連音,向頭前行幾步路，發現講山溝內底山棧花開甲滿滿滿。
2270,三連音,看著好食物，逐家攏目睭擘甲金金金，
2271,三連音,田裡的菜蔬逐欉都青青青閣飽滿
2272,三連音,孫跳舞共阿媽弄甲心花開開開。
2273,三連音,𪜶關佇𤲍𤲍𤲍的籠仔內，敢若監囚仝款
2274,三連音,頭一个印象就是對塗跤到天篷，攏罩一重厚厚厚的烏煙黗。
2275,三連音,伊為啥物無蟲？因為農藥毒甲了了了矣嘛。
2276,三連音,逐粒烏豆就是遮爾仁仁仁，媠閣大粒
2277,三連音,門已經是開開開矣。
2278,三連音,摒厝內自早到暗做一工貼貼貼，
2279,三連音,現場的人共這个人圍甲實實實，
2280,三連音,拳頭拇扲甲絚絚絚，拍算欲揍人的款
2281,三連音,對敵人的後面進攻，予伊敗甲塗塗塗。
2282,三連音,開甲上蓋盡磅號做開開開啦。
2283,三連音,開開開佮開開開讀起來聲音無仝，表達的意思嘛有精差
2284,三連音,著時的茈薑哺著幼幼幼。
