Im-tóng,Hàn-jī,Lô-má-jī
REC_02-80.wav,袂因為鼻頭tú puh出來的痘仔煩惱,
REC_02-82.wav,袂因為額頭新刻的皺紋哀爸叫母,
REC_02-84.wav,嘛袂因為多出來的五公斤體重,
REC_02-86.wav,毋敢出門。,
REC_02-88.wav,,
REC_02-90.wav,4. 海湧,
REC_02-92.wav,,
REC_02-94.wav,一尾一尾銀色的魚仔,
REC_02-96.wav,相錚欲爬起來岸頂,
REC_02-98.wav,,
REC_02-100.wav,無論錚kah偌頭前,
REC_02-102.wav,無論溢kah偌懸偌猛,
REC_02-104.wav,,
REC_02-106.wav,最後總是嘛著,
REC_02-108.wav,化作無形,
REC_02-110.wav,,
REC_02-112.wav,9. 忘憂森林,
REC_02-114.wav,之二  迷霧森林,
REC_02-116.wav,,
REC_02-118.wav,罩濛,
REC_02-120.wav,是樹林尚媠的時陣,
REC_02-122.wav,濛將一切箍作一夥,
REC_02-124.wav,無我 無你,
REC_02-126.wav,無樹 無花,
REC_02-128.wav,無人 無物。,
REC_02-130.wav,,
REC_02-132.wav,10. Ipad kap杯仔,
REC_02-134.wav,,
REC_02-136.wav,之一  Ipad,
REC_02-138.wav,,
REC_02-140.wav,伊是電視，嘛是樂器,
REC_02-142.wav,會曉報路，閣會講天氣,
REC_02-144.wav,會當幫助咱做工課,
REC_02-146.wav,提來thit-thô嘛真舒適,
REC_02-148.wav,,
REC_02-150.wav,因為無將伊當作電腦,
REC_02-152.wav,所以伊才會當,
"Oct 6, 2018.wav",啥物攏是。,
"Oct 6, 2018_1.wav",,
"Oct 6, 2018_2.wav",11. 杯仔,
"Oct 6, 2018_3.wav",,
"Oct 6, 2018_4.wav",杯仔,
"Oct 6, 2018_5.wav",總有一kang會破,
"Oct 6, 2018_6.wav",,
"Oct 6, 2018_7.wav",所以,
"Oct 6, 2018_8.wav",佇iah袂破去的時,
"Oct 6, 2018_9.wav",請好好珍惜kap伊作夥的時間,
"Oct 6, 2018_10.wav",,
,有一kang杯仔若破,
,嘛請你毋免傷心,
,因為,
,到彼時,
,咱，嘛會破。,
,,
,12. 杯仔摔破，敢有要緊1？,
,,
,「杯仔囥khah入去le̍h，連鞭會lak落!」,
,「毋通爬懸爬低，連鞭摔落來!」,
,自細漢，大人就按呢教示咱。,
,,
,「著找穩定的頭路，未來才會有保障！」,
,「毋thang la̍h，按呢傷冒險!」,
,大漢了後，大家猶原互相提醒。,
,,
,大家攏欲找,
,尚穩定的頭路,
,大家攏欲做,
,尚無冒險、尚無危險的代誌,
,,
,安全的路,
,乎咱的人生,
,失去改變的可能、,
,失去成長的機會，,
,乎咱這馬就會當預知,
,二十年後的生活。,
,,
,因為驚對“未來”造成傷害,
,咱suah毋敢好好仔活佇“現在”,
,白白乎人生空過。,
,袂記得,
,「無快樂的現在,
,就無幸福的未來」,
,這个不變的道理。,
,,
,驚驚袂得等，,
,驚失敗，就失去成功的機會。,
,,
,杯仔摔破,
,其實嘛無真正hiah-nī-á要緊。,
,人生內底,
,尚安全的路,
,嘛一定會是,
,尚無聊的路。,
,,
,註1：大家攏真驚杯仔摔破，毋過以我的經驗，佇餐廳內底摔破杯仔無人會叫咱賠錢，佇厝lìn摔破杯仔其實掃起來就好。佇人生內底，咱驚的代誌100項內底會真正造成大損害的可能khah無一項，毋過咱suah因為驚，失去真濟真濟豐富人生的機會。,
,,
,,
,13. 義大遊樂世界(組詩五首),
,,
,之一  遊樂園,
,,
,遊樂園內底有各種無仝的器材：,
,有的衝真緊，有的溫lûn仔行；,
,有的大起大落，有的也真平和；,
,有的一tak久仔就結束，,
,有的坐真久閣坐袂suah。,
,"活動範圍大的，會當看真懸、真hng,",
,活動範圍細的，自頭到尾攏ka-na佇仝一个小所在,
,這來彼去踅圓箍。,
,,
,無仝的遊樂器材適合無仝款的人坐：,
,好膽的人坐khah刺激的，,
,無kah意起起落落的 ,
,就坐khah穩在的。,
,,
,總是：,
,毋管坐著佗一台,
,Thìng候時間一到,
,嘛是就say good-bye，,
,換別人坐。,
,,
,之五  旋轉木馬,
,,
,一日一日,
,一年一年,
,Liòng懸、竄低,
,Liòng懸、竄低,
,拍拼的伊，出力向前。,
,,
,久年以後,
,伊雄雄發現,
,家己,
,猶原停佇原地,
,一點仔toh無改變。,
,,
,,
,17. 你用啥物養飼家己的生命？,
,,
,你用啥物養飼家己的生命？,
,你kā生活的重心囥佇佗位？,
,,
,無代誌通做的時，,
,你敢會空虛？,
,一个人的時，,
,是毌是感覺孤單？,
,,
,開好車、住“豪宅”,
,你的生命敢有得到成就？,
,有權閣有勢,
,你的人生敢著算是成功？,
,,
,年華消逝,
,你敢有感覺人生空過？,
,長日將近的時，,
,你敢會當無遺無憾，安心入夢？,
,,
,過一陣仔閣tú著tsia个問題,
,你敢會當肯定家己,
,猶原iah是有滿意的答案？,
,,
,20. 快樂的代誌,
,,
,我問少年人,
,啥物是人生尚快樂的代誌,
,一个笑笑仔講：,
,出國thit-thô是快樂的代誌,
,另外一个稍可歹勢，面仔紅記記：,
,男女做愛是幸福的代誌,
,閣有一个suah無意無意：,
,閒閒啥攏免做，就是世間尚kái好的代誌。,
,,
,毋過，,
,導遊tshuā團出國thit-thô,
,看起來嘛無真快樂,
,黃色片的演員,
,做起來嘛無kái歡喜,
,路邊的街友歸日閒仙仙,
,感覺起來若會有淡薄仔憂愁？,
,,
,原來，快樂的原因毋是做啥代誌,
,是用啥款心情去做伊。,
,21. 做無工課(khang-khuè),
,,
,「最近有閒無」？,
,「仝款真無閒neh!」,
,,
,大家逐日拍拼,
,想欲乎世界閣khah完美,
,想欲乎家庭閣khah幸福,
,想欲乎生命閣khah充實,
,,
,所以,
,平常時工課做kah半暝,
,吃飯慣習ná配電腦,
,爬山的時嘛 就隨時檢查智慧手機,
,袂當lose任何一條訊息,
,,
,所以,
,尚驚人講咱,
,「無工課好做」,
,Iah是「做無工課」,
,,
,毋過，經過久長閣忝頭的拍拼了後,
,世界敢有變khah完美？,
,家庭敢有變khah幸福？,
,生命敢有變khah充實？,
,停落來的時，心內敢有滿足的感覺？,
,,
,身軀的若行了傷緊,
,靈魂就綴袂就伊的跤步,
,肉體愈骨力的人,
,心就愈貧惰,
,,
,佇人生的路途中,
,尚好是不時將跤步停落來,
,將心靜落來,
,乎家己無工課好做,
,好好仔享受做「無工課」的甘甜。,
,23. 簡單的智慧 -- 腦筋急轉彎,
,,
,之一,
,,
,將象囥入去冰箱,
,需要幾个步驟？,
,--冰箱門拍開、象囥入去、門kah關起來。,
,,
,世間的真理原本就是tsiah簡單、tsiah樸素,
,是咱的頭殼傷過複雜,
,Tsiah會看袂出人生,
,簡單的道理。,
,,
,之五,
,,
,一个查某囡仔欲按怎向查甫人證明,
,家己是真正的查某人？,
,-- 提身分證乎對方看。,
,,
,佇現代社會人的目珠內底,
,事實若無寫tiàm文件頂頭,
,就毋是事實。,
,,
,之六,
,,
,無愛讀冊的囝仔啥物課攏毋去上,
,只有佗一節課無法度缺席？,
,-- 下課,
,,
,人就算是會當逃避人生所有的代誌,
,總嘛是著面對死亡的降臨。,
,,
,29. 主人kap奴隸,
,,
,Tng當身體發出訊息,
,講伊已經去餓就，,
,你定kā伊講,
,莫吵，我leh無閒。,
,,
,用這款方式，,
,你證明你是主人，,
,身體是奴隸。,
,,
,Tng當身體發出信息,
,講伊已經傷飽，,
,你suah講,
,毋過雞蛋糕真媠,
,看起來真好吃款；,
,毋過雞排真芳,
,鼻起來袂pháinn吃款。,
,,
,敢有人看過牛吃傷飽,
,去看胃腸科的？,
,草埔有tsiah-nī濟無仝的草,
,羊仔敢會去吃彼个,
,色緻好看，毋過對身體有損害的花？,
,,
,為著欲證明你是身體的主人，,
,你甘願,
,毋聽身體的話,
,做一个,
,連畜牲攏不如的人。,
,,
,有一日,
,身體擋袂牢，,
,大聲喝hiu,
,講伊無欲閣忍受,
,你的草ta̍h、你的傷害。,
,你開始暝日煩惱、四界走縱，,
,想盡辦法,
,走找彼个,
,身體“無定”會想欲的物；,
,做一寡,
,身體“無定”會kah意的代誌。,
,Phôo-phôo-thánn-thánn，,
,將以前虐待身體的額,
,攏總還還轉去，,
,做身體乖順的,
,奴隸。,
,,
,33. 地獄kap天堂,
,,
,「l'autre est l'enfer」(他人是地獄),
,                      --J. P. Sartre *,
,,
,逐家攏認為,
,家己的思考模式,
,才是正確,
,逐家攏希望,
,地球照家己想欲ài 的方式轉se̍h,
,逐家攏leh要求,
,別人「改正」in 的作為。,
,,
,「我是為你好」,
,「我是關心你」,
,「按呢做才是對的」,
,「按呢處理，你的人生才會進步…」,
,逐日、逐日,
,咱攏活佇「別人」的地獄內底,
,逐日、逐日,
,咱嘛一直乎家己,
,誠作親人、朋友的地獄,
,,
,每一个人,
,攏是獨立的,
,每一个人,
,攏有家己的生活經驗kap知識,
,愛,
,毋是將對方關佇籠仔內,
,愛,
,嘛毋是乎對方變作,
,家己的鏡、,
,家己的附屬,
,,
,印度的哲學家講：,
,「地獄乎人創作出來，,
,因為咱期待天堂」,
,,
,若是無要求,
,「大家攏仝款」的天堂，,
,就袂有,
,「你ná會按呢…」的地獄,
,,
,Tháu縛家己,
,Tháu縛別人,
,自由，才是真正的天堂。,
,,
,,
,註：,
,J. P. Sartre (1905-1980)：法國存在主義哲學家。Tsit句話是ùi伊1944年的哲學劇《Huis clos》(《無路通出去》)內面出來的，這齣戲內底閣有1段真出名的話：「因為無鏡，人只好kā別人當作是鏡，ùi別人hia走尋家己存在的證據，通過別人的眼光來認捌家己…」。,
,,
,39. 假設句,
,,
,假設句是複合句的一種，,
,伊是由二个簡單句組成──,
,其中一句描述向望發生的代誌,
,另外一句描述代誌若是發生，會有啥款好結果。,
,這種複合句差不多攏會用假設詞來開始，,
,伊會當指向過去,
,嘛會當指向未來。,
,,
,假設句會當乎咱平淡、不幸的現實生活變作彩色：,
,「假使彼當時我若……,
,這馬就好過啊」,
,「若準早知……,
,就袂按呢啊」,
,,
,「假使我有,
,成功的事業、富裕的生活、,
,美滿的婚姻、友孝的囝兒、,
,健康的身體、和樂的家庭……,
,一定會真快樂」!,
,,
,若是生活中有傷濟假設句,
,咱就會將注意力攏囥佇,
,已經過去，無法度閣改變的過去，,
,抑是iah袂發生、嘛毋知敢會發生的未來。,
,袂記得咱真正la̍k佇手頭的,
,只有現在。,
,,
,43. 神聖的母親,
,,
,母親節的時,
,無分政府kap民間,
,無論電視抑電台,
,大家聲聲句句感謝,
,偉大的母親,
,,
,大家攏需要,
,神聖的母親、,
,包容的女性：,
,,
,囝仔撞死人1,
,老母欲哭欲nih，,
,佇鏡頭前向大家叩頭會失禮。,
,查甫人咧？,
,老爸走去匿，,
,囝仔將藥水布縛佇無受傷的頭殼頂，,
,藏佇病院毋敢出來。,
,,
,藝人分手*,
,女朋友kap前女朋友攏出來pué-huē，,
,查甫人咧？,
,Tiām-tiām佇邊仔做無事人。,
,,
,神聖的母親,
,有家庭，無自我：,
,「我絕對相信家己的尪婿,
,袂對不起我」；,
,「我絕對相信家己的囝仔,
,袂做出傷天害理的代誌」。,
,,
,神聖的母親,
,袂當做科學家、,
,袂當做詩人、,
,袂當做官、,
,袂當追求家己的理想：,
,Tsia攏是尪的工課、,
,Tsia攏是囝的工課。,
,,
,原來，社會讚揚的,
,神聖母親，,
,人人呵咾的,
,包容女性，,
,其實不過是查甫人軟tsiánn,
,自私、免負責任的,
,美麗包裝。,
,,
,,
,註1：新聞報導，葉姓的少年家撞死人，伊的母親直直出來向社會、向被害人家屬會失禮，少年家的老爸自頭到尾攏匿起來無出面；撞死人的葉姓少年家一直假影受傷匿佇病院/朋友hia，毋願意現身。,
,註2：姚姓查甫藝人kap隋姓查某藝人分手，人講王姓查某藝人是第三者。隋姓kap王姓2位查某藝人分別開過記者會說明。姚姓藝人suah 嘛一直leh逃避，無願意出來講清楚。,
,,
,,
,,
,,
,,
,44. “新好男人”無欲鬥洗碗,
,,
,之一  媽媽的感動,
,,
,“媽媽，今仔日是你的生日,
,我來kā你鬥洗碗！”,
, “阿母，今仔日是母親節,
,煮飯就乎我來鬥相共”,
,“乖囝仔，你有影真貼心，媽媽無白疼你”,
,,
,“貼心的，為著慶祝咱結婚5周年，,
,Kā囝仔洗身軀這項代誌,
,今仔日就交乎我lo̍h!”,
, “Án某的，為就體貼你上班的辛苦，,
,以後逐禮拜三攏乎我來洗碗好啊!”,
,“難得你閣tsiah會曉想！”,
,,
,媽媽對家己的尪婿、囝仔tsiah-nī-á捌代誌,
,感覺真安慰、真滿足。,
,因為伊的安慰kap滿足,
,“家”事，suah慢慢仔攏總變作是,
,“媽”事,
,,
,45. 囡仔故事的期末考卷,
,,
,〈一〉、人生目標：下面是囡仔故事內底，女性角色(無一定是女主角)的人生目標。請寫出下面tsia个描述是ùi佗一个故事出來的 (逐題5分)。另外，內面有一个選項是囡仔故事內底無可能出現的，請指出是佗一个(5分)？,
,,
,1. 啥物攏免做，一直睏，等王子來kā伊唚，了後就嫁彼个王子。,
,2. 想盡辦法將金瓜變作馬車，葉仔變作媠衫，通去舞會吸引王子的注意，最後嫁乎王子。,
,3. 想盡辦法找到會當娶伊的王子，乎家己會當ùi半人半畜牲的怪物變作正常人。,
,4. Kap王子私奔，嫁王子。,
,5. 嫁乎王子/國王了後想辦法除掉魔鏡所講，比伊khah 媠的人，乎家己維持世界尚媠的身分。,
,6. 追求生命的成長kap對世界的貢獻。,
,,
,〈二〉、結婚對象：下面是囡仔故事內底，女主角的結婚對象。請寫出下面tsia个描述是ùi佗一个故事出來的(逐題5分)。另外，內面有一个選項是囡仔故事內底無可能出現的，請指出是佗一个 (5分)？,
,,
,1. 將伊掠去的生份人。,
,2. 拍敗“將伊掠去的人/怪獸”的生份人。,
,3. 無代無誌suah走來kā伊唚的生份人。,
,4. 無代無誌經過樹林，用in養母仝款的方法騙女主角將長頭毛放落來的生份人。,
,5. 將伊的病治療好的生份人。,
,6. 拾到伊落去的球的生份水蛙。,
,7. In爸爸去彼偷挽花，suah hông掠到彼間厝的生份主人。,
,8. 自由選擇敢有欲結婚，以及結婚對象是啥人。,
,,
,〈三〉、連看maih:下面是囡仔故事內底，女主角無應該做的代誌kap後果，請將對應的選項連起來(逐題5分)。,
,,
,1. 探問尪婿的秘密                               A. 乎狼吃掉,
,2. 做尪婿禁止的代誌，親像入去某一个房間        B. 乎尪婿追殺,
,3. kap生份人做朋友，聽伊的話去看媠花            C. 尪婿會變作天鵝飛走,
,4. Kap人講話                                   D. 兄哥會無法度變轉來,
,,
,〈四〉、申論題：請解釋Simone de Beauvoir 1所講，「女性毋是出世就誠做女性，是hông教育做女性的」這句話的意涵(10分)。,
,,
,34. 輪迴,
,,
,「眾業所感，獲報如是…動經億劫，求出無期。此界壞時，寄生他界。他界次壞，轉寄他方…」。-- 地藏菩薩本願經,
,,
,「你ná會siān講toh講袂pìnn!」,
,「你ná會攏欲按呢!」,
,,
,罵人的,
,明知對方的習慣就是按呢,
,Suah逐遍攏擋袂條；,
,Hông罵的,
,明知對方無kah意這種做法,
,Suah嘛無想欲改變。,
,,
,逐月逐日,
,咱一直、一直為著仝款的代誌,
,Kap仝款的人來冤家。,
,,
,「我ná會tsiah衰，逐遍攏tú著爛桃花？」,
,「我ná會tsiah歹運，逐遍生理攏失敗？」,
,「我ná會攏……」,
,,
,用仝款的方法做仝款的代誌,
,想欲得到無仝的結果，,
,這是有憨人才會有的期待1。,
,,
,想欲有幸福快樂的未來，,
,脫離無止盡的“輪迴”,
,只有ùi改變面對生活中大細項代誌的模式,
,開始！,
,,
,註1：Albert Einstein(愛因斯坦)捌講過類似的話：Insanity: doing the same thing over and over again and expecting different results(神經病：一直做仝款的代誌，suah來肖想有無仝的結果!),
,,
,47. 風吹 -- 獻乎作夥為台語文運動拍拼的前輩kap友志,
,,
,之一  吹袂落1 的風吹,
,,
,風愈透,
,風吹飛愈懸,
,,
,Tsìnn2風，是風吹展現韌性kap實力的時,
,對面吹來的兇風、惡風、狂風,
,吹kah伊腳步袂穩，,
,吹kah伊phiân過來phiân過去,
,,
,伊的身影,
,佇風中愈飛愈懸,
,佇烏暗的環境內底,
,大方展現家己tshia-iānn 的色緻,
,,
,48. 台灣教育(之一)  ,
,,
,法國的大學生毋捌Hugo 2？,
,無可能！,
,英國的大學生無讀過Shakespeare 3？,
,我毋相信！,
,露西亞的大學生對Dostoevsky 4無啥物印象？,
,絕對袂按呢！,
,台灣的大學生無讀過任何台灣文學名家的作品？,
,這是理所當然......,
,,
,佇學校教英語,
,「應該應該，國際化才有未來！」,
,佇學校教華語,
,「應該應該，社會通行的語言著顧乎在！」,
,佇學校教母語,
,「抗議抗議，恁ná會攏tsiah-nī-á意識形態？」,
,,
,台灣囝仔佇愈受愈懸的教育過程當中,
,慢慢仔,
,袂記得家己是啥人。,
,,
,54. 標語,
,,
,佇台灣的大街小巷行踏，,
,不時會看到各種標語：,
,「喝酒不開車，開車不喝酒」,
,「禁止亂倒垃圾」,
,「水深危險，禁止戲水」,
,「時時防火，歲歲平安」,
,,
,標語kap現實完全對反：,
,真濟人亂擲糞埽的所在,
,才會有「禁止亂擲」的標語,
,大家飲kap醉茫茫了後，照常開車,
,才會有「醉不上道」的標語,
,,
,佇插愈濟支「禁止耍水」的所在泅水,
,愈顯示會出游泳的技術；,
,佇「十次車禍九次快」的所在尬車,
,才表現會出車的性能；,
,「禁倒垃圾，違者罰錢」的標語下面,
,糞埽的數目永遠kap罰金成正比 ──,
,若是無hông罰到，,
,Phiann一遍算賺一遍,
,加做幾遍仔就好額。,
,,
,細漢的時陣，學校分的筆記簿仔後面,
,攏會印「做一個堂堂正正的中國人」,
,毌知是彼陣的人做代誌攏無堂正，,
,亦是其實大部分的台灣民眾,
,彼時就已經無感覺家己是中國人？,
,,
,,
,55. 滿千送百,
,,
,「滿千送百」,
,「第二杯半價」,
,「買五件送一件」,
,「預付一期拍六折」,
,咱的世界,
,乎濟濟siânn人的折扣,
,包圍,
,,
,「我用2成的價數,
,買你選擇的權力好無？」,
,「我用3成的回饋,
,買你的自由好無？」,
,「我用4成的折數,
,決定你身軀邊的人欲吃啥貨好無？」,
,若好，恁以後就ài對我一心一意,
,袂當閣去接近別人。,
,,
,我會用你預先支付的錢,
,成作人質。,
,另日，你若想欲選擇,
,別牌的衫,
,別人的咖啡,
,別間的游泳池,
,我會將tsia个錢沒收，算是,
,自由的贖金、,
,變心的代價。,
,,
,56. 核電五則,
,之二  高貴的台灣人,
,,
,核廢料就囥佇蘭嶼、運去北韓，,
,橫直已經乎in補償金，,
,咱有俗的電通用khah重要,
,Tsia个番仔、落伍國家的人，,
,死就準suah，,
,免管in个死活啦！,
,,
,之五  幸福的台灣人,
,,
,台電有in的專業，,
,政府欲按呢做一定也有伊的道理，,
,咱毋通為反對來反對。,
,只要乖乖聽政府的話，,
,在伊舞、在伊pìnn，,
,啥物攏免想，啥物攏免驚,
,咱一定會當做1个,
,幸福的台灣人,
,,
,61. Facebook (二)：安定的時代,
,,
,「真媠的風景」,
,60幾人tshi̍h讚,
,「好吃的餐廳」,
,120幾人tshi̍h讚,
,「少年查某囡仔貼相片講心情」,
,360幾人tshi̍h讚,
,,
,反對核能電廠,
,12人tshi̍h讚,
,抗議媒體壟斷,
,6个人,
,講讚,
,,
,原來，佇21世紀的台灣社會,
,「小警總」猶原佇咱的心中,
,霆伊的警示聲......。,
,,
,63.資訊時代,
,,
,Éng過佇國家級的實驗室tsiah有的電腦，,
,即陣hōo咱提來掠生氣的鳥仔去撞無辜的豬仔,
,Tsìn前用佇國對國的通訊網路，,
,Tsit-má hōo咱提來發佈晚頓beh tsia̍h啥貨,
,,
,將衛星phah起lih太空，,
,Hōo咱會當即時知影美國有1隻牛peh去樹仔頂的消息,
,將基地台建設乎好，,
,所以咱會當隨時App hōo朋友，講tú-á上課有juā無聊。,
,,
,人講，,
,Tsé 就是資訊時代,
