Im-tóng,Hàn-jī,Lô-má-jī,Tsing-kui-hàn-jī,Tsing-kui-lô-má-jī
"Mar 23, 2019_179.wav",下晡去大湖挽i-tsí-gooh，欲暗仔去泰安洗溫泉，連遊覽車錢算在內，極加才九百箍niâ，真正是有食閣有掠！,"Ē-poo khì Tuā-ôo bán i-tsí-gooh, beh-àm-á khì Thài-an sé un-tsuânn, liân iû-lám-tshia-tsînn sǹg tsāi-lāi, ki̍k-ke tsiah káu-pah khoo niâ, tsin-tsiànn sī ū tsia̍h koh ū lia̍h!",,
"Mar 23, 2019_180.wav",下晡去大湖挽i-tshí-gooh，欲暗仔去泰安洗溫泉，連遊覽車錢算在內，極加才九百箍niâ，真正是有食閣有掠！,"Ē-poo khì Tuā-ôo bán i-tshí-gooh, beh-àm-á khì Thài-an sé un-tsuânn, liân iû-lám-tshia-tsînn sǹg tsāi-lāi, ki̍k-ke tsiah káu-pah khoo niâ, tsin-tsiànn sī ū tsia̍h koh ū lia̍h!",,
"Mar 23, 2019_181.wav",員外隨時轉面色：「我無佮你咧唱曲，話講出喙就是話。」,"Guân-guē suî-sî tńg bīn-sik, ""guá bô kah lí teh tshiùnn-khik, uē kóng tshut-tshuì tō sī uē.""",,
"Mar 23, 2019_182.wav",伊只是怨嘆宋的愛gut醋閣喙袂甜，雖然愛伊，毋過是共伊當做查某囝按呢疼惜。,"I tsí-sī uàn-thàn Sòng--ê ài gut-tshòo koh tshuì bē tinn, sui-jiân ài--i, m̄-koh sī kā i tòng-tsò tsa-bóo-kiánn án-ne thiànn-sioh.",,
"Mar 23, 2019_183.wav",你彼芋仔應當是綿綿鬆鬆，哪會食著澩澩？,"Lí he ōo-á ing-tong sī mî-mî sang-sang, ná-ē tsia̍h-tio̍h ha̍unnh-ha̍unnh?",,
"Mar 23, 2019_184.wav",彼个阿兄蓋hàunn跋筊。,Hit ê a-hiann kài hàunn pua̍h-kiáu.,,
"Mar 23, 2019_185.wav",路lìn無細膩去踢著石仔，伊的跤指甲隨藃起來。,"Lōo--lìn bô-sè-jī khì that-tio̍h tsio̍h-á, i ê kha-tsńg-kah suî hiauh--khí-lâi.",,
"Mar 23, 2019_186.wav",講話著正經，毋通hih-hih笑。,"Kóng-uē tio̍h tsìng-king, m̄-thang hih-hih-tshiò.",,
"Mar 23, 2019_187.wav",猶有濟濟小細的教會佇這个問題咧hinnh-hinnh呻。,Iáu-ū tsē-tsē sió-sè ê kàu-huē tī tsit ê būn-tê teh hinnh-hinnh-tshan.,,
"Mar 23, 2019_188.wav",Hainnh，囡仔人有耳無喙，毋好烏白問。,"Hainnh, gín-á-lâng ū-hīnn-bô-tshuì, m̄-hó oo-pe̍h mn̄g.",,
"Mar 23, 2019_189.wav",這款藥仔主要用佇治羊眩。,Tsit khuán io̍h-á tsú-iàu iōng tī tī iûnn-hîn.,,
"Mar 23, 2019_190.wav",川旭坐位七十九年。,Tshuan-hiok tsē-uī tshit-tsa̍p-káu nî.,,
"Mar 23, 2019_191.wav",我共伊講 :「你是看著魔神仔hiooh？」,"Guá kā i kóng,""lí sī khuànn-tio̍h môo-sîn-á--hiooh?""",,
"Mar 23, 2019_192.wav",這領衫薄hiuh-hiuh。,Tsit niá sann po̍h-hiuh-hiuh.,,
"Mar 23, 2019_193.wav",若喘氣會hiu̍nnh，當然是痚呴。,"Nā tshuán-khuì ē hiu̍nnh, tong-liân sī he-ku.",,
"Mar 23, 2019_194.wav",噷噷食三碗公半。,Hm̍h-hm̍h tsia̍h sann uánn kong puànn.,,
"Mar 23, 2019_195.wav",俗語講媒人喙，糊瘰瘰。,"Sio̍k-gí kóng hm̂-lâng-tshuì, hôo-luì-luì.",,
"Mar 23, 2019_196.wav",俗語講媒人喙，糊瘰瘰。,"Sio̍k-gí kóng hm̂-lâng-tshuì, hôo-luì-luì.",,
"Mar 23, 2019_197.wav",牌仔進前𫞼佇鶴岡口路邊，因為迴轉道工程猶佇咧施工，予人徙一邊。,"Pâi-á tsìn-tsîng tshāi tī Ho̍h-kong-kháu lōo-pinn, in-uī huê-tńg-tō kang-tîng iáu tī-leh si-kang, hōo lâng suá tsi̍t-pinn.",,
"Mar 23, 2019_198.wav",伊用最後的氣力欲來倒欱。,I iōng tsuè-āu ê khuì-la̍t beh-lâi tò-hop.,,
"Mar 23, 2019_199.wav",跤步嘛綴咧重huainnh-huainnh。,Kha-pōo mā tuè-leh tāng-huainnh-huainnh.,,
"Mar 23, 2019_200.wav",鼻異鄉的酸楚，心掠坦橫放予粗，總會有彼工，將你抱入我的夢。,"Phīnn ī-hiong ê sng-tshó, sim lia̍h-thán-huênn pàng hōo tshoo, tsóng--ē ū hit kang, tsiong lí phō-ji̍p guá ê bāng.",,
"Mar 23, 2019_201.wav",你手䘼li̍k起來，順紲共你磅血壓。,"Lí tshiú-ńg li̍k--khí-lâi, sūn-suà kā lí pōng huih-ap.",,
"Mar 23, 2019_202.wav",若是走江湖的掛咧，就是通鼓。若是乞食掛咧，就是唪鼓。這是「仝款無仝師傅」，絕對毋通拂毋著去。,"Ná-sī tsáu-kang-ôo ê kuà--leh, tō sī thong-kóo. Ná-sī khit-tsia̍h kuà leh, tō sī phiāng-kóo. Tse sī ""kāng-khuán bô-kâng sai-hū"", tsua̍t-tuì m̄-thang hut m̄-tio̍h--khì.",,
"Mar 23, 2019_203.wav",昨日前往臺灣文史之父葉石濤的靈堂跪拜。,Tso̍h-ji̍t tsiân-óng Tâi-uân bûn-sú tsi hū Ia̍p Tsio̍h-tô ê lîng-tn̂g kuī-pài.,,
"Mar 23, 2019_204.wav",囡仔真古錐一直喓喓叫。,Gín-á tsin kóo-tsui it-ti̍t iaunn-iaunn kiò.,,
"Mar 23, 2019_205.wav",毋但是咱現代台語人僫讀，連提來改的編者嘛花花，這種用字法傷過ih-uat，實在不可取。,"M̄-nā sī lán hiān-tāi Tâi-gí lâng oh tha̍k, liân the̍h lâi kái ê pian tsiá mā hue-hue, tsit tsióng iōng-jī-huat siunn-kuè ih-uat, si̍t-tsāi put-khó tshú.",,
"Mar 23, 2019_206.wav",喙內咧i̍nnh-i̍nnh哼哼呻。,Tshuì-lāi teh i̍nnh-i̍nnh hainn-hainn tshan.,,
"Mar 23, 2019_207.wav",林長老出來，逐家揖禮，就分賓主坐落。,"Lîm tiúnn-ló tshut--lâi, ta̍k-ke ip-lé, tō hun pin tsú tsē--lo̍h.",,
"Mar 23, 2019_208.wav",接咧是感染的年歲，美國的感染者攏以少年人佔多數。,"Tsiap--leh sī kám-jiám ê nî-huè, Bí-kok ê kám-jiám-tsiá lóng í siàu-liân-lâng tsiàm to-sòo.",,
"Mar 23, 2019_209.wav",我凊彩掀，對看一廿字。望欲有當看著舊版失察覺，新版知影通改正的所在。,"Guá tshìn-tshái hian, tuì-khuànn it-jia̍p jī. Bāng beh ū-tàng khuànn-tio̍h kū pán sit tshat-kak, sin pán tsai-iánn thang ké-tsiànn ê sóo-tsāi.",,
"Mar 23, 2019_210.wav",開始佮死神走相逐。,Khai-sí kah sí-sîn tsáu-sio-jik.,,
"Mar 23, 2019_211.wav",嫂仔仍然逐日寫拄好的聖經句，共囥佇翁婿欲紮的揹仔內。,"Só--á jîng-jiân ta̍k-ji̍t siá tú-hó ê sìng-king kù, kā khǹg tī ang-sài beh tsah ê phāinn-á lāi.",,
"Mar 23, 2019_212.wav",有一日𪜶兜拍毋見驢，𪜶老爸叫伊去揣，無拍算佇路中拄著Sat-bó-jínn。,"Ū-tsi̍t-ji̍t in tau phah-m̄-kiàn lû, in lāu-pē kiò i khì tshuē, bô-phah-sǹg tī lōo-tiong tú-tio̍h Sat-bó-jínn.",,
"Mar 23, 2019_213.wav",名車的防賊系統敢講遮爾弱毋？,Miâ-tshia ê hông-tsha̍t-hē-thóng kám-kóng tsiah-nī jio̍h--m̄?,,
"Mar 23, 2019_214.wav",搵醬是簡單的白醋加蒜茸。,Ùn-tsiùnn sī kán-tan ê peh-tshò ka suàn-jiông.,,
"Mar 23, 2019_215.wav",竟然使用柔道、擒拿術共這位檳榔西施過肩摔。,"Kíng-jiân sú-iōng jiû-tō, khîm-ná-su̍t kā tsit uī pin-nn̂g se-si kuè-king-siak.",,
"Mar 23, 2019_216.wav",今仔日的工課，是欲共金寶螺的卵挼予死。,"Kin-á-ji̍t ê khang-khuè, sī beh kā kim-pó-lê ê nn̄g luê hōo sí.",,
"Mar 23, 2019_217.wav",今仔日的工課，是欲共金寶螺的卵挼予死。,"Kin-á-ji̍t ê khang-khuè, sī beh kā kim-pó-lê ê nn̄g juê hōo sí.",,
"Mar 23, 2019_218.wav",Jà-juh的根是佇非洲。這个音樂的節奏佮伊的精神就是早期奴隸保留落來的傳統。,Jà-juh ê kin sī tī Hui-tsiu. Tsit ê im-ga̍k ê tsiat-tsàu kah i ê tsing-sîn tō sī tsá-kî lôo-lē pó-liû--lo̍h-lâi ê thuân-thóng.,,
"Mar 23, 2019_219.wav",總是我有聽見走到巷仔頭的時有喈一聲。,Tsóng--sī guá ū thiann-kìnn tsáu-kàu hāng-á-thâu ê sî ū kainn--tsi̍t-siann.,,
"Mar 23, 2019_220.wav",心梗窒咧發作的時，有一半會引起心律不整無張持死。,"Sim-kénn-that teh huat-tsok ê sî, ū tsi̍t-puànn ē ín-khí sim-lu̍t-put-tsíng bô-tiunn-tî sí.",,
"Mar 23, 2019_221.wav",抑無我khaih有通煮飯呢？,Ia̍h-bô guá khaih ū-thang tsú-pn̄g--neh?,,
"Mar 23, 2019_222.wav",對伊的頭殼敱落去。,Uì i ê thâu-khak kháinn--lo̍h-khì.,,
"Mar 23, 2019_223.wav",那食那看阿公𣁳一𣁳麵粉糊，現煎做麵皮。,"Ná tsia̍h ná khuànn a-kong khat tsi̍t khat mī-hún kôo, hiān tsian tsò mī-phuê.",,
"Mar 23, 2019_224.wav",人古錐毋過蓋皮，又閣愛kha̍uh-kha̍uh唸。,"lâng kóo-tsui m̄-koh kài phî, iū-koh ài kha̍uh-kha̍uh-liām.",,
"Mar 23, 2019_225.wav",鹹餅食甲kha̍unnh-kha̍unnh叫,Kiâm-piánn tsia̍h kah kha̍unnh-kha̍unnh-kiò.,,
"Mar 23, 2019_226.wav",伊喀規半晡攏喀無痰。,I khe̍nnh kui-puànn-poo lóng khe̍nnh bô thâm.,,
"Mar 23, 2019_227.wav",雲林縣古坑鄉圓環邊仔，就有一間三十年薑母鴨老店。,Hûn-lîm-kuān Kóo-khenn-hiong înn-khuân pinn-á tō ū tsi̍t king sann-tsa̍p nî kiunn-bó-ah lāu-tiàm.,,
"Mar 23, 2019_228.wav",安檢空隙，假釋犯刜傷觀護人。,"An-kiám khang-khiah, ká-sik-huān phut-siong kuan-hōo-jîn.",,
"Mar 23, 2019_229.wav",內行人呵咾有形威，外行的講我惡確確。,"Lāi-hâng-lâng o-ló ū hîng-ui, guā-hâng--ê kóng guá ok-khia̍k-khia̍k.",,
"Mar 23, 2019_230.wav",我毋是勥跤查某，我干焦是一个戇查某人。,"Guá m̄ sī khiàng-kha tsa-bóo, guá kan-tann sī tsi̍t ê gōng tsa-bóo-lâng.",,
"Mar 23, 2019_231.wav",「老母無嫌囝㾀勢」，老母無咧嫌囝歹看的啦！,"""Lāu-bú bô hiâm kiánn khiap-sì"", lāu-bú bô teh hiâm kiánn pháinn-khuànn--ê--lah!",,
"Mar 23, 2019_232.wav",中橫公路沿路坎坎坷坷，路草險惡往往行咧停咧。,"Tiong-huâinn kong-lōo iân-lōo khám-khám-khia̍t-khia̍t, lōo-tsháu hiám-ok óng-óng kiânn--leh thîng--leh.",,
"Mar 23, 2019_233.wav",伊的身軀硬khiauh-khiauh。,I ê sin-khu ngē-khiauh-khiauh.,,
"Mar 23, 2019_234.wav",嫌犯毋捌貨，共六十萬箍的小提琴俗賣。,"Hiâm-huān m̄ bat-huè, kā la̍k-tsa̍p-bān khoo ê sió-thê-khîm sio̍k-bē.",,
"Mar 23, 2019_235.wav",你看梅子喔遮𠢕拑家，這馬靜惠遮捌代誌，我對陳家有交代矣啦。,"Lí khuànn Muî-tsú--ooh tsiah gâu khînn-ke, tsit-má Tsīng-huī tsiah bat tāi-tsì, guá tuì Tân--ka ū kau-tài--ah--lah.",,
"Mar 23, 2019_236.wav",良藥苦口治病症。,Liông io̍h khóo khió tī pēnn-tsìng.,,
"Mar 23, 2019_237.wav",春枝滿腹的哀怨，khiu̍h-khiu̍h顫出聲來：「若莫予阮母仔強𤆬轉去，我猶會帶戲班，我做小旦，真𠢕唱哭調仔呢。」,"Tshun-ki muá-pak ê ai-uàn, khiu̍h-khiu̍h-tsùn tshut-siann--lâi, ""nā mài hōo gún bú--á kiông tshuā tńg--khì, guá iáu-ē tuà hì-pan, guá tsò sió-tuànn, tsin gâu tshiùnn khàu-tiāu-á--neh.""",,
"Mar 23, 2019_238.wav",後來廖瓊枝靠獨特的「苦旦哭腔」，佇歌仔戲沓沓仔拍響名號。,"Āu--lâi Liāu Khîng-ki khò to̍k-ti̍k ê ""khóo-tuànn khàu-khiunn"", tī kua-á-hì ta̍uh-ta̍uh-á phah-hiáng miâ-hō.",,
"Mar 23, 2019_239.wav",外口是tsiâ咧吭吭吼？,Guā-kháu sī tsiâ teh khngh-khngh-háu?,,
"Mar 23, 2019_240.wav",可憐母囝kho̍h-kho̍h等，春去秋盡不知寒。,"Khó-liân bó-kiánn kho̍h-kho̍h-tán, tshun khì tshiu tsīn put ti hân.",,
"Mar 23, 2019_241.wav",人若佇伊的面頭前咧講，較早「外省仔」按怎拄按怎可惡，隨想著阮阿公嘛是「外省仔」就恬去矣。,"Lâng nā tī i ê bīn-thâu-tsîng teh kóng, khah-tsá “guā-síng-á” án-nuá tú án-nuá khónn-ònn, suî siūnn-tio̍h guán a-kong mā sī "" guā-síng-á"" tō tiām--khì--ah.",,
"Mar 23, 2019_242.wav",拍鐵店頭家欲娶新婦真歡喜，拜託人寫門聯。伊講，共我寫「若無恁爸早時的khi̍h-kho̍k-khia̍k，哪有今仔日的la̍k-ta̍k-khua̍innh。」,"Phah-thih tiàm-thâu-ke beh tshuā sin-pū tsin huann-hí, pài-thok lâng siá mn̂g-liân. I kóng, kā guá siá“nā bô lín pâ tsá-sî ê khi̍h-kho̍k-khia̍k, ná-ū kin-á-ji̍t ê la̍k-ta̍k-khua̍innh.”",,
"Mar 23, 2019_243.wav",職缺百外个，倚兩千人搶工課。,"Tsit-khueh pah-guā ê, uá nn̄g-tshing lâng tshiúnn khang-khuè.",,
"Mar 23, 2019_244.wav",木雕轉型創新，柴屐出頭天。,"Bo̍k-tiau tsuán-hîng tshòng-sin, tshâ-kia̍h tshut-thâu-thinn.",,
"Mar 23, 2019_245.wav",毋過規粒星予國王彼領俏kiak-kiak的貂皮禮服崁了了。,M̄-koh kui-lia̍p tshinn hōo kok-ông hit niá tshio-kiak-kiak ê tiau-phuê lé-ho̍k khàm liáu-liáu.,,
"Mar 23, 2019_246.wav",拜拜毋免煩惱香煙薰kiāng-kiāng。,Pài-pài m̄-bián huân-ló hiunn-ian hun-kiāng-kiāng.,,
"Mar 23, 2019_247.wav",這箍查某囡仔有影誠niauh-kiauh，用傱的。,"Tsit khoo tsa-bóo-gín-á ū-iánn tsiânn liauh-kiauh, iōng tsông--ê.",,
"Mar 23, 2019_248.wav",若已經無大灶的人家，就臨時用磚仔砌一口大烘爐，囥一坩大鼎仝款佇咧煮。,"Nā í-king bô tuā-tsàu ê jîn-ke, tō lîm-sî iōng tsng-á kih tsi̍t kháu tuā hang-lôo, khǹg tsi̍t khann tuā-tiánn kāng-khuán tī-leh tsú.",,
"Mar 23, 2019_249.wav",鼾甲ki̍nnh-ko̍nnh叫。,Huânn kah ki̍nnh-ko̍nnh kiò.,,
"Mar 23, 2019_250.wav",龍眼柴熬烏糖膏，芳ki̍t-ki̍t金黃色水，濆出圓形的波。,"Lîng-gíng-tshâ gô oo-thn̂g-ko, phang-ki̍t-ki̍t kim-n̂g sik-tsuí, bùn-tshut înn-hîng ê pho.",,
"Mar 23, 2019_251.wav",食著酸kiuh-kiuh。,Tsia̍h tio̍h sng-kiuh-kiuh.,,
"Mar 23, 2019_252.wav",薑母鴨用的是紅面番鴨。,Kiunn-bó-ah iōng--ê sī âng-bīn-huan-ah.,,
"Mar 23, 2019_253.wav",佇活動中心鼾鼾睏，常常鼾彼款牛咧睏的聲。,"Tī ua̍h-tāng-tiong-sim kônn-kônn-khùn, siông-siông kônn hit-khuán gû teh khùn ê siann.",,
"Mar 23, 2019_254.wav",過Thài-lóo-kooh了後開始是平地。,Kuè Thài-lóo-kooh liáu-āu khai-sí sī pênn-tē.,,
"Mar 23, 2019_255.wav",上尾一齣拄著風颱，風透甲戲棚ki̍nnh-kua̍innh叫，雨愈落愈大，我想欲搝阿公來轉，伊毋走，一直看甲煞才甘願。,"Siōng-bué tsi̍t tshut tú--tio̍h hong-thai, hong thàu kah hì-pênn ki̍nnh-kua̍innh kiò, hōo lú lo̍h lú tuā, guá siūnn-beh giú a-kong lâi tńg, I m̄ tsáu, it-ti̍t khuànn kah suah tsiah kam-guān.",,
"Mar 23, 2019_256.wav",斟一大碗，做三、四喙kua̍k落去。,"Thîn tsi̍t tuā uánn, tsò sann, sì tshuì kua̍k--lo̍h-khì.",,
"Mar 23, 2019_257.wav",大膽賊仔胳胴跤鋏螢幕，冗冗離開網咖。,"Tuā-tánn tsha̍t-á kueh-lang-kha giap îng-bōo, liōng-liōng lī-khui bāng-ka.",,
"Mar 23, 2019_258.wav",家私頭仔佇喙空一直抐、一直刮，總是毋敢出聲，連醫生問講「會疼袂？」仝款恬恬毋出聲。,"Ke-si-thâu--á tī tshuì-khang it-ti̍t lā, it-ti̍t kuih, tsóng--sī m̄-kánn tshut-siann, liân i-sing mn̄g kóng, ""ē thiànn--bē?"" kāng-khuán tiām-tiām m̄ tshut-siann.",,
"Mar 23, 2019_259.wav",電梯門關倚來。,Tiān-thui mn̂g kuinn uá--lâi.,,
"Mar 23, 2019_260.wav",石滑滑不時交落。,Tsio̍h ku̍t-ku̍t put-sî ka-la̍uh.,,
"Mar 23, 2019_261.wav",一時聽見佇地下室親像有人拖鐵鍊咧行，佇酒桶頂lia̍k-lia̍k叫。,"Tsi̍t-sî thiann-kìnn tī tē-hā-sik tshin-tshiūnn ū lâng thua thih-liān teh kiânn, tī tsiú-tháng-tíng lia̍k-lia̍k-kiò.",,
"Mar 23, 2019_262.wav",我毋是刁工欲惹阿母受氣。,Guá m̄-sī thiau-kang beh jiá a-bú siūnn-khì.,,
"Mar 23, 2019_263.wav",到遮，天欲絕我的性命liauh。,"Kàu tsia, thinn beh tsua̍t guá ê sènn-miā liauh.",,
"Mar 23, 2019_264.wav",目色鈍閣略仔挩窗liooh。,Ba̍k-sik tūn koh lio̍h-á thuah-thang liooh.,,
"Mar 23, 2019_265.wav",對食的雞肉、魚肉、米，到用的衛生紙、尿苴仔、衫褲，毋管是二手的抑是全新的，價數真俗。,"Tuì tsia̍h--ê ke-bah, hî-bah, bí, kàu īng--ê uē-sing-tsuá, liō-tsū-á, sann-khòo, m̄-kuán sī jī-tshiú--ê ia̍h-sī tsuân-sin--ê, kè-siàu tsin-sio̍k.",,
"Mar 23, 2019_266.wav",伊liu̍h-liu̍h-á越頭看我。,I liu̍h-liu̍h-á ua̍t-thâu khuànn--guá.,,
"Mar 23, 2019_267.wav",小人魚這馬到樹林內lòm塗的所在，遐的中央有一棟厝，彼是用反船淹死的人骨頭所起的。,"Sió jîn hî tsit-má kàu tshiū-nâ-lāi lòm-thôo ê sóo-tsāi, hia ê tiong-ng ū tsi̍t tòng tshù, he sī iōng píng-tsûn im--sí ê lâng-kut-thâu sóo khí--ê.",,
"Mar 23, 2019_268.wav",定定lop落去田底。,Tiānn-tiānn lop lo̍h-khì tshân-té.,,
"Mar 23, 2019_269.wav",算講這「揀頭對」是一項優勝劣敗的競爭。,"Sǹg-kóng tse ""kíng thâu-tuì"" is tsi̍t hāng iu-sìng lua̍t-pāi ê kìng-tsing.",,
"Mar 23, 2019_270.wav",生態環境破壞甲糜糜卯卯。,Sing-thài-khuân-kíng phò-huāi kah mi-mi-mauh-mauh.,,
"Mar 23, 2019_271.wav",利用伊的歌聲佮絃仔美妙的旋律，共平安和幸福傳達出去。,"Lī-iōng i ê kua-siann kah hiân-á bí-biāu ê suân-lu̍t, kā pîng-an hām hīng-hok thuân-ta̍t--tshut-khì.",,
"Mar 23, 2019_272.wav",利用伊的歌聲佮絃仔美妙的旋律，共平安和幸福傳達出去。,"Lī-iōng i ê kua-siann kah hiân-á bí-miāu ê suân-lu̍t, kā pîng-an hām hīng-hok thuân-ta̍t--tshut-khì.",,
"Mar 23, 2019_273.wav",物件捾予好ōo！,Mn̍gh-kiānn kuānn hōo hó ōo!,,
"Mar 23, 2019_274.wav",因為彼个青年自細捌染著腦膜炎，真危險閣好起來，身體無勇。,"In-uī hit ê tshing-liân tsū-sè bat jiám-tio̍h náu-mo̍oh-iām, tsin guî-hiám koh hó--khí-lâi, sin-thé bô ióng.",,
"Mar 23, 2019_275.wav",雙跤踏著水池下跤路糊糜。,Siang-kha ta̍h-tio̍h tsuí-tî ē-kha lōo-kôo-muâi.,,
"Mar 23, 2019_276.wav",尻川鬥爍爁。,Kha-tshuinn tàu sih-nah.,,
"Mar 23, 2019_277.wav",袂堪得按呢激氣，老師的手垂落來，胸坎浮咧naih咧。,"Bē-kham-tit án-ni kik-khì, lāu-su ê tshiú suî--lo̍h-lâi, hing-khám phû--leh naih--leh.",,
