Im-tóng,Hàn-jī,Lô-má-jī,Tsing-kui-hàn-jī,Tsing-kui-lô-má-jī
"Oct 6, 2018_81.wav",澳洲廣播公司（ABC）的一篇分析文章講，若是會當閣撨出一个跨黨派的第四案，莫一黨一案，改革會較有贏面。,"Ò-tsiu kóng-pòo kong-si (ABC) ê tsi̍t phinn hun-sik bûn-tsiong kóng, nā-sī ē-tàng koh tshiâu-tshut tsi̍t ê khuà tóng-phài ê tē-sì àn, mài tsi̍t tóng tsi̍t àn, kái-kik ē khah ū iânn-bīn.",,
"Oct 6, 2018_82.wav",頂年七月，一間研究公司Crosby Textor做的民調講，七十二pha的澳洲人支持同性婚合法化。,"Tíng-nî tshit--gue̍h, tsi̍t king gián-kiù kong-si Crosby Textor tsò ê bîn-tiàu kóng, tshit-tsa̍p-jī pha ê Ò-tsiu lâng tsi-tshî tông-sìng-hun ha̍p-huat-huà.",,
"Oct 6, 2018_83.wav",這个比例比十年前增加強欲一倍。,Tsit ê pí-lē pí tsa̍p nî tsîng tsing-ka kiōng-beh tsi̍t puē.,,
"Oct 6, 2018_84.wav",國會議員咧？,Kok-huē gī-uân--leh?,,
"Oct 6, 2018_85.wav",英國《衛報》的澳洲版最近隨个仔隨个訪問下議院全部的一百五十位議員，若是開放投良心票，in的立場會啥款。,"Ing-kok “Uē-pò” ê Ò-tsiu-pán tsuè-kīn tsi̍t ê tsi̍t ê hóng-būn hā-gī-īnn tsuân-pōo ê tsi̍t-pah gōo-tsa̍p uī gī-uân, nā-sī khai-hòng tâu liông-sim-phiò, in ê li̍p-tiûnn ē siánn-khuán.",,
"Oct 6, 2018_86.wav",頂禮拜三公佈結果，有六十三个贊成同性婚合法、四十个反對，,"Tíng lé-pài-sann kong-pòo kiat-kó, ū la̍k-tsa̍p-sann ê tsàn-sîng tông-sìng-hun ha̍p-huat, sì-tsa̍p ê huán-tuì,",,
"Oct 6, 2018_87.wav",毋過猶未決定抑是表態的人嘛真濟，有四十七个，到時的輸贏猶閣真歹講。,"m̄-koh iáu-buē kuat-tīng a̍h-sī piáu-thài ê lâng mā tsin tsē, ū sì-tsa̍p-tshit ê, kàu-sî ê su-iânn iáu-koh tsin pháinn-kóng.",,
"Oct 6, 2018_88.wav",既然支持改變的民意超過七成，是按怎政治人物猶閣綴袂著？,"Kì-jiân tsi-tshî kái-piàn ê bîn-ì tshiau-kuè tshit siânn, sī-án-tsuánn tsìng-tī jîn-bu̍t iáu-koh tuè bē tio̍h?",,
"Oct 6, 2018_89.wav",頭前講著的民調公司負責人對英國廣播公司（BBC）講，一寡議員對保守勢力傷過驚惶。,"Thâu-tsîng kóng--tio̍h ê bîn-tiàu kong-si hū-tsik-jîn tuì Ing-kok kóng-pòo kong-si (BBC) kóng, tsi̍t-kuá gī-uân tuì pó-siú sè-li̍k siunn-kuè kiann-hiânn.",,
"Oct 6, 2018_90.wav",伊講：「保守的基督教團體吵甲真大聲，毋過講較白的in是無幾隻貓仔，無啥要緊。」,"I kóng: “Pó-siú ê Ki-tok-kàu thuân-thé tshá kah tsin tuā-siann, m̄-koh kóng khah peh--ê in sī bô kuí tsiah niau-á, bô siánn iàu-kín.”",,
"Oct 6, 2018_91.wav",工黨的副領袖Tanya Plibersek嘛講，並毋是所有的天主教徒攏反對同性婚。,"Kang-tóng ê hù-líng-siù Tanya Plibersek mā kóng, pīng m̄ sī sóo-ū ê Thian-tsú kàu-tôo lóng huán-tuì tông-sìng-hun.",,
"Oct 6, 2018_92.wav",佇咧吵甲當熱的時陣，有一對已經結婚十冬的翁仔某宣佈。,"Tī-leh tshá kah tng jia̍t ê sî-tsūn, ū tsi̍t tuì í-king kiat-hun tsa̍p tang ê ang-á-bóo suan-pòo.",,
"Oct 6, 2018_93.wav",佇咧吵甲當熱的時陣，有一對已經結婚十冬的翁仔某宣佈，若是國會通過同性婚合法，in就欲離緣來表示抗議。,"Tī-leh tshá kah tng jia̍t ê sî-tsūn, ū tsi̍t tuì í-king kiat-hun tsa̍p tang ê ang-á-bóo suan-pòo, nā-sī kok-huē thong-kuè tông-sìng-hun ha̍p-huat, in tō beh lī-iân lâi piáu-sī khòng-gī.",,
"Oct 6, 2018_94.wav",蹛佇首都Canberra的Jensen翁仔某講，若準國家欲改變婚姻的定義，欲承認同性的關係，就觸犯著原本上帝神聖的旨意，in才無愛插潲彼種新的定義咧。,"Tuà tī siú-too Canberra ê Jensen hu-hū kóng, nā-tsún kok-ka beh kái-piàn hun-in ê tīng-gī, beh sîng-jīn tông-sìng ê kuan-hē, tō tshiong-huān-tio̍h guân-pún siōng-tè sîn-sìn ê tsí-ì, in tsiah bô-ài tshap-siâu hit tsióng sin ê tīng-gī--leh.",,
"Oct 6, 2018_96.wav",澳洲國會捌佇二空一二年表決同性婚合法化的議題，贊成派輸甲褪褲。,"Ò-tsiu kok-huē bat tī jī khòng it jī nî piáu-kuat tông-sìng-hun ha̍p-huat-huà ê gī-tê, tsàn-sîng-phài su kah thǹg-khòo.",,
"Oct 6, 2018_97.wav",ABC的分析認為，以現在國內外贊成派攏遐爾仔有勢面來看，這擺投票的結果凡勢會無仝，上緊可能佇八月就會過關。,"ABC ê Hun-sik jīn-uî, í hiān-tsāi kok-lāi-guā tsàn-sîng-phài lóng hiah-nī-á ū sè-bīn lâi-khuànn, tsit pái ē huān-sè bô-kāng, siōng kín khó-lîng tī peh--gue̍h tō ē kuè-kuan.",,
