Im-tóng,Hàn-jī,Lô-má-jī,Tsing-kui-hàn-jī,Tsing-kui-lô-má-jī
"Oct 27, 2018 1_115.wav",一蕊花五箍。花一蕊五箍。,Tsi̍t luí hue gōo khoo. Hue tsi̍t luí gōo khoo.,,
"Oct 27, 2018 1_116.wav",成百萬的人上街抗議。,Tsiânn pah bān ê lâng tsiūnn-ke khòng-gī.,,
"Oct 27, 2018 1_117.wav",看袂出來in老母才三十捅歲。,Khuànn bē tshut-lâi in lāu-bú tsiah sann-tsa̍p-thóng huè.,,
"Oct 27, 2018 1_118.wav",全國十億捅欉的樹仔攏剉了了。,Tsuân-kok tsa̍p-ik thóng tsâng ê tshiū-á lóng tshò liáu-liáu.,,
"Oct 27, 2018 1_119.wav",才發覺原本幾億、幾兆尾魚仔予咱人食欲無賰。,"Tsiah huat-kak guân-pún kuí-ik, kuí-tiāu bué hî-á hōo lán lâng tsia̍h beh bô tshun.",,
"Oct 27, 2018 1_120.wav",一間豬牢siāng（上）少有六百外隻豬仔。,Tsi̍t king ti-tiâu siāng tsió ū la̍k-pah-guā tsiah ti-á.,,
"Oct 27, 2018 1_121.wav",明明差十幾外票就當選矣。,Bîng-bîng tsha tsa̍p-kuí-guā phiò tō tòng-suán--ah.,,
"Oct 27, 2018 1_122.wav",我予人倒數幾若億呢，規氣跳樓死死好啊。,"Guá hōo lâng tó-siàu kuí-nā ik--neh, kui-khì thiàu-lâu sí-sí hó--ah.",,
"Oct 27, 2018 1_123.wav",病院閣欠一二十萬升的血。,Pēnn-īnn koh khiàm it-jī-tsa̍p-bān tsin ê hueh.,,
"Oct 27, 2018 1_124.wav",長短差一兩百外米。,Tn̂g-té tsha tsi̍t-nn̄g-pah-guā bí.,,
"Oct 27, 2018 1_125.wav",我手頭閣無夠二三十箍銀。,Guá tshiú-thâu koh bô kàu jī-sann-tsa̍p khoo-gîn.,,
"Oct 27, 2018 1_126.wav",股市起到兩三百萬點的款。,Kóo-tshī khí kàu nn̄g-sann-pah-bān tiám ê khuán.,,
"Oct 27, 2018 1_127.wav",凊彩一个BOT案攏嘛愛三五千萬，袂講得貴。,"Tshìn-tshái tsi̍t ê BOT àn lóng mā ài sann-gōo-tshing-bān, bē-kóng-tit kuì.",,
"Oct 27, 2018 1_128.wav",厝內有六七支喙愛飼。,Tshù-lāi ū la̍k-tshit ki tshuì ài tshī.,,
"Oct 27, 2018 1_129.wav",七八支刀仔全生鉎，有夠討債。,"Tshit-peh ki to-á tsuân senn-sian, ū-kàu thó-tsè.",,
"Oct 27, 2018 1_130.wav",囥佇桌頂的電影票閣有八九張，看siáng（啥人）愛。,"Khǹg tī toh-tíng ê tiān-iánn-phiò koh ū peh-káu tiunn, khuànn siáng ài.",,
"Oct 27, 2018 1_131.wav",Gá-suh爐一半擺仔無拭，袂偌油啦！,"Gá-suh-lôo tsi̍t-puànn-pái-á bô tshit, bē luā iû--lah!",,
"Oct 27, 2018 1_132.wav",根據民意調查，五成一的民眾袂煩惱水內底有塑膠，四成無表示意見。,"Kin-kì bîn-ì-tiau-tsa, gōo siânn it ê bîn-tsiòng bē huân-ló tsuí lāi-té ū sok-ka, sì siânn bô piáu-sī ì-kiàn.",,
"Oct 27, 2018 1_133.wav",一人一款命。,Tsi̍t lâng tsi̍t khuán miā.,,
"Oct 27, 2018 1_134.wav",一陣鳥仔咧飛。,Tsi̍t tīn tsiáu-á teh pue.,,
"Oct 27, 2018 1_135.wav",咱這陣去鹿港愛兩點半鐘。,Lán tsit-tsūn khì Lo̍k-káng ài nn̄g tiám puànn tsing.,,
"Oct 27, 2018 1_136.wav",咱這站出發，著下晡三點外才會到嘉義。,"Lán tsit-tsām tshut-huat, tio̍h ē-poo sann tiám-guā tsiah ē kàu Ka-gī.",,
