Im-tóng,Hàn-jī,Lô-má-jī,Tsing-kui-hàn-jī,Tsing-kui-lô-má-jī
"Apr 20, 2019_36.wav",目睭眵眵，便所看做hoo-thé-luh.,"Ba̍k-tsiu tshuh-tshuh, piān-sóo khuànn-tsò hoo-thé-luh.",,
"Apr 20, 2019_37.wav",請你共薰焠(tshuh)予花。,Tshiánn lí kā hun tshuh hōo hua.,,
"Apr 20, 2019_38.wav",湯傷滇，我無細膩tsiak著你的褲。,"Thng siunn tīnn, guá bô sè-jī tsiak-tio̍h lí-ê khòo,",,
"Apr 20, 2019_39.wav",今仔日PM 2.5誠懸，逐家門攏關到密喌喌。,"Kin-á-ji̍t PM jī tiám gōo tsiânn kuân, ta̍k-ke mn̂g kuainn kàu ba̍t-tsiuh-tsiuh.",,
"Apr 20, 2019_40.wav",佇遐看的人，也是三三五五，tshinnh-tshinnh-tsngh-tsngh。,"Tī hia khuànn ê lâng, iā-sī sam-sam-ngóo-ngóo, tshinnh-tshinnh-tsngh-tsngh.",,
"Apr 20, 2019_41.wav",輾輾咧、跩跩咧，無到五分鐘稻草變出花字。,"Liàn-liàn--leh, tsuāinn-tsuāinn--leh, bô kàu gôo hun-tsing tiū-tsháu pīnn-tshut hue-jī.",,
"Apr 20, 2019_42.wav",火tsua̋inn燒了了。,Hué tsua̋inn sio-liáu-liáu.,,
"Apr 20, 2019_43.wav",逐家攏是頭一擺佈田，結果著是秧仔插甲歪歪tsuāi-tsuāi。,"Ta̍k-ke lóng-sī thâu it pái pòo-tshân, kiat-kó tio̍h-sī ng-á tshah kah uai-uai-tsuāi-tsuāi.",,
"Apr 20, 2019_44.wav",親像甜粿、八寶飯等年節(tsueh)食物，攏愛用秫米來做.,"Tshin-tshiūnn tinn-kué, pat-pó-pn̄g tíng nî-tsueh tsia̍h-mi̍h, lóng ài-īng tsu̍t-bí lâi-tsò.",,
"Apr 20, 2019_45.wav",伊予阿公倖歹矣，不時佇遐受氣張掇。,"I hōo a-kong sìng pháinn--ah, put-sî tī hia siū-khì tiunn-tuah.",,
"Apr 20, 2019_46.wav",伊的面膨皮膨皮，tuainn-tuainn-tuainn。,"I ê bīn phòng-phuê-phòng-phuê, tuainn-tuainn-tuainn.",,
"Apr 20, 2019_47.wav",人毋是伊刣的，伊落尾無關，就按呢tuaih.,"Lâng m̄ sī i thâi—ê, i lo̍h-bué bô kuainn, tsū-án-ne tuaih.",,
"Apr 20, 2019_48.wav",猶毋過因為天氣䆀，無法度閣飛tuài臺灣。,"Iah-m̄-koh in-uī thinn-khì bái, bô-huat-tōo koh pue tuài Tâi-uân.",,
"Apr 20, 2019_49.wav",𪜶共千百冬的封建體制拍破，開創日本現代化的基礎，尾仔官僚佮政客奪取成果。,"In kā tshing pah tang ê hong-kiàn thé-tsè phah-phuà, khai-tshòng Ji̍t-pún hiān-tāi-huà ê ki-tshóo, bué-á kuann-liâu kah tsìng-kheh tua̍t-tshú sîng-kó。",,
"Apr 20, 2019_50.wav",一下聽講衛生紙欲起價，逐家攏買來囤厝內。,"Tsi̍t-ē thiann-kóng uē-sing-tsuá beh khí-kè, ta̍k-ke lóng bé-lâi tún tshù-lāi.",,
"Apr 20, 2019_51.wav",你行路哪會怪怪，敢是去uaih著。,Lí kiânn-lōo ná-ē kuài-kuài，kám-sī khì uaih--tio̍h。,,
"Apr 20, 2019_52.wav",伊頭一擺出門做生理，沿烏寒的街仔路uainnh-uainnh仔行，喙齒根咬到kia̍k-kia̍k叫，毋敢大聲喝賣。,"I thâu tsi̍t pái tshut-mn̂g tsò-sing-lí, iân oo-kuânn ê ke-á-lōo uainnh-uainnh-á kiânn, tshuì-khí-kin kā kàu kia̍k-kia̍k-kiò, m̄-kánn tuā-siann huah-bē.",,
"Apr 20, 2019_53.wav",恁兩箍行路uainnh咧uainnh咧，走較緊咧啦!,"Lín nn̄g-khoo kiânn-lōo uainnh--leh uainnh--leh, tsáu khah kín--leh lah!",,
"Apr 20, 2019_54.wav","竹仔發出「嚶嚶uāinn-uāinn」的聲,","Tik-á huat-tshut ""inn-inn-uāinn-uāinn"" ê siann,",,
"Apr 20, 2019_55.wav",產婆腹肚撨了後，囡仔生落塗跤兜，隨時哭甲uannh-uannh吼。,"Sán-pô pak-tóo tshiâu liáu-āu, gín-á sinn-lo̍h thôo-kha-tau, suî-sî khàu kah uannh-uannh-háu.",,
"Apr 20, 2019_56.wav",聽講囡仔人拍噎仔較gâu大。,Thiann-kóng gín-á-lâng phah-uh-á khah gâu tuā.,,
"Apr 20, 2019_57.wav",𪜶手下假滇狂，佇城門的門扇亂寫亂劃。,"In tshiú-ē ké tian-kông, tī siânn-mn̂g ê mn̂g-sìnn luān siá luān ui̍h.",,
"Apr 20, 2019_58.wav",,,,
"Apr 20, 2019_59.wav",,,,
