Im-tóng,Hàn-jī,Lô-má-jī,Tsing-kui-hàn-jī,Tsing-kui-lô-má-jī
,益角花仔煞變甲足目頭懸，臭煬塊塊(tshàu iāng tè ×)，攏袂癮(giàn)佮huâi舊厝邊相借問。,"Iah kak-hue-á suah piàn-kah tsiok ba̍k-thâu-kuân, tshàu-iāng tè-tè, lóng bē giàn kah hiâ huâi kū tshù-pinn sio-tsioh-mn̄g.",,
,「角花仔，你有影足媠的liòo！阮攏足欣羨、足佮意你liòo……」，運動衫開喙共呵咾。,""" kak-hue-á, lí ū-iánn tsiok suí--ê liòo! Gún lóng tsiok him-siān, tsiok kah-ì--lí liòo……"", ūn-tōng-sann khui-tshuì kā o-ló.",,
,「哎呀(--āi-iâ)！Tsiâ欲愛你佮意咧，你咧媠面！莫傷phīng倚來ôo ……離較開咧較無蠓……」，角花仔那講那徙跤。,""" --āi-iâ! Tsiâ beh ài--lí kah-ì--leh, lí leh suí bīn! Mai3 siunn phīng-uá lâi ôo…… Lī khah khui--leh khah bô báng……"", kak-hue-á ná kóng ná suá-kha.",,
,「角花仔，莫遐孤khu̍t啦！逐家攏是厝邊兜，好朋友呢(neh) ……」褲裙看袂做得，就共踏話囉……。,""" kak-hue-á, bo̍k hiâ koo-khu̍t--lah! Ta̍k-ke lóng-sī tshù-pinn-tau, hó-pîng-iú neh……"" khòo-kûn khuànn bē-tsò-tit, tō kā ta̍h-uē--looh…….",,
,「Tsiâ佮你是好朋友！活欲衰著。佮你這款褲毋成褲、裙毋成裙，像半陰陽(iam iûnn)的，愈看愈㤉(gê)，â ……閃、閃啦！」角花仔講出呸瀾(phuì nuā)的話。,""" Tsiâ kah lí-sī hó-pîng-iú! Ua̍h-beh sue--tio̍h. Kah lí tsit-khuán khòo m̄-tsiânn khòo, kûn m̄-tsiânn kûn, tshiūnn puànn-iam-iûnn--ê, jú khuànn jú gê, â …… Siám, siám--lah! "" kak-hue-á kóng-tshut phuì-nuāê uē.",,
,「莫吵好毋！活欲齪(tsak)死……」，彼爿當咧嗚嗚(onn ×)睏的拍鐵仔褲大的，忍袂牢、大喝一聲。一時的，聲說攏恬去……；,""" bo̍k tshá hó--m̄! Ua̍h-beh tsak--sí……"", hit-pîng tng-teh onn-onn-khùn ê phah-thih-á-khòo tuā--ê, jím-bē-tiâu, tuā-huah tsi̍t siann. Tsi̍t-sî-ê, siann-sueh lóng tiām--khì……；",,
,角花仔佇幽靜的衫櫥仔內，恬恬仔佇回想：嘿(hah)、嘿、阮阿妙生日彼一工眾人誠共呵咾，講看伊彼款純真，活骨、足歡喜的款曲，帶塗跤兜連踅幾ā輾(liàn)塊hőng看，像一隻蛾(ia̍h)仔飛起飛落，人阮的心情嘛綴伊清彩起來……。,"Kak-hue-á tī iu-tsīng ê sann-tû-á-lāi, tiām-tiām-á tī huê-sióng : hah, hah, gún a-biāu senn-ji̍t hit tsi̍t kang tsìng-lâng tsiânn kā o-ló, kóng khuànn i hit-khuán sûn-tsin, ua̍h-kut 、 tsiok huann-hí ê khuán-khiok, tài thôo-kha-tau liân se̍h kuí-ā liàn tè hőng khuànn, tshiūnn tsi̍t tsiah ia̍h-á pue khí pue lo̍h, lâng gún ê sim-tsîng mā tuè i tshing-tshái khí-lâi…….",,
,「阿母啊！足媠的呢！感謝你òo！」角花仔佇衫櫥仔內，聽阿妙咧共in母仔說謝……。,""" a-bú--ah! Tsiok suí--ê--neh! Kám-siā lí òo! "" kak-hue-á tī sann-tû-á-lāi, thiann a-biāu teh kā in bú--á seh-siā…….",,
,猶毋過毋知為啥代，予阿妙tsiah歡喜著。目nih仔，衫櫥仔夆開開矣，阿妙手裡提一領純白色的洋裝，胸前紩(thīnn)一粒實(tsa̍t)腹、金爍爍、金雞心型的金片；,"Á-m̄-kò m̄-tsai uī siánn tāi, hōo a-biāu tsiah huann-hí-tio̍h. Ba̍k-nih-á, sann-tû-á hőng khui--khui--ah, a-biāu tshiú--lí the̍h tsi̍t-niá sûn-pe̍h-sik ê iûnn-tsong, hing-tsîng thīnn tsi̍t lia̍p tsa̍t-pak 、 kim-sih-sih 、 kim-ke-sim-hîng ê kim-phinn3；",,
,絲質透明的手䘼(ńg)，閣釣(tiò)一隻幼秀的蛾(ia̍h)仔結，裙裾閣kún一沿有花草的lueh-sù，看落樸真閣大方。,"Si-tsit thàu-bîng ê tshiú-ńg, koh tiò tsi̍t tsiah iù-siù ê ia̍h-á kiat, kûn-ki koh kúntsi̍t iân ū hue-tsháu ê lueh-sù, khuànn-lo̍h phoh-tsin koh tāi-hong.",,
,阿妙出一下力，掰(pué)開洗了閣洗的舊衫，共這軀純白色的洋裝，掛(kuì/kuà)佇角花仔的邊仔，喙phué浮出笑微微的面容，才閣共門關好勢。,"A-biāu tshut tsi̍t-ē la̍t, pué khui sé-liáu koh sé ê kū sann, kā tsit su sûn-pe̍h-sik ê iûnn-tsong, kuà ( kuì / kuà ) tī kak-hue-á ê pinn-á, tshuì-phué phû tshut tshiò-bî-bî ê bīn-iông, tsiah koh kā mn̂g kuainn hó-sè.",,
,角花仔一看，用吐地邪眼(thòo tē siâ gán)的表情，掠這个新厝邊金金看……。,"Kak-hue-á tsi̍t-khuànn, iōng thòo-tē-siâ-gán ê piáu-tsîng, lia̍h tsit ê sin tshù-pinn kim-kim-khuànn…….",,
,「Ueh！白衫番啊！你對佗位來的？我一下佮你對目，就感覺足刺鑿(tshì tsha̍k)著……」，角花仔講著話是一款足臭火、足無細膩的氣(khuì)口。,""" Ueh! Pe̍h-sann-huan--ah! Lí tuì tó-uī lâi--ê？Guá tsi̍t-ē kah lí tuì-ba̍k, tō kám-kak tsiok tshì-tsha̍k-tio̍h……"", kak-hue-á kóng-tio̍h uē sī tsi̍t-khuán tsiok tshàu-hué, tsiok bô sè-jī ê khuì-kháu.",,
,「òo！歹勢啦！我號做素花仔，初見面……，誠歡喜佮你做厝邊……」，素花仔有禮有教咧共回答。,""" òo! Pháinn-sè--lah! Guá hō-tsò sòo-hue-á, tshoo-kìnn-bīn……, tsiânn huann-hí kah lí tsò tshù-pinn……"", sòo-hue-á ū lé ū kà teh kā hê-tap.",,
,「素花仔！Hngh！莫傷kheh倚來 ôo，看你規身軀白透龍的，毋知有病抑無咧……？」角花仔直ka搖手，閣兼掰(pué)手，表示袂癮(giàn)佮伊握(at)手。,""" sòo-hue-á! Hngh! Mai3 siunn kheh-uá lâi ôo, khuànn--lí kui sing-khu pe̍h-thàu-liông ê, m̄ tsai ū-penn7 a̍h bô leh……？"" kak-hue-á ti̍t ka iô-tshiú, koh kiam pué tshiú, piáu-sī be7 giànkah i at-tshiú.",,
,「對不住啦！我毋知佗落得失著你乎(honnh) ……？」素花仔誠細膩按呢ka應。,""" tuì-put-tsū--lah! Guá m̄-tsai tó lo̍h tik-sit tio̍h lí--honnh……？"" sòo-hue-á tsiânn sè-jī án-ne ka ìn.",,
,「嘿(heh)！你來到這搭(tah)，就是得失著我矣，好啊！莫囉唆、我無想欲佮你答喙鼓……。」角花仔講煞，隨越頭做伊摔(siak)大眠矣。,""" --heh ( heh )! Lí lâi-kàu tsit-tah, tō-sī tik-sit tio̍h guá--ah, hó--ah! Mai3 lô-so, guá bô siūnn beh kah lí tap-tshuì-kóo……. "" kak-hue-á kóng-suah, suî ua̍t-thâu tsò i siak-tuā-bîn--ah.",,
,幾禮拜了後，阿妙的阿舅欲娶某矣，阿妙就揀素花仔來穿，佇落地鏡面頭前，phîn-á-phîn、照(tsiò)á照，那照那笑sai-sai。,"Kuí-lé-pài liáu-āu, a-biāu ê a-kū beh tshuā-bóo--ah, a-biāu tō kíng sòo-hue-á lâi tshīng, tī lo̍k-tē kiànn-bīn thâu-tsîng, phîn-a2-phîn 、 tsiò-á-tsiò, ná tsiò ná tshiò-sai-sai.",,
,Uâ！感覺家己足成一个公主咧；猶毋過，這款的情況，予角花仔看著，愈看愈起bái毛、起gê目。,"Uâ! Kám-kak ka-kī tsiok-sîng tsi̍t-ê kong-tsú--leh；Iá-m̄-koh, tsit-khuán ê tsîng-hóng, hōo kak-hue-á khuànn--tio̍h, lú khuànn lú khí-bái-mn̂g, khí gê-ba̍k.",,
,有一工，佇一个機緣，角花仔佮素花仔同齊佇洗衫機內底，鬥陣洗身軀；,"Ū tsi̍t kang, tī tsi̍t ê ki-iân, kak-hue-á kah sòo-hue-á tâng-tsê tī sé-sann-ki lāi-té, tàu-tīn sé-sing-khu；",,
,角花仔看素花仔，人伊一身軀白sut-sut，予主人阿妙ka tshuā出 tshuā入，足目空赤的，一時的起妒賢，伊就想一齣奸詭步，欲予素花仔好看。,"Kak-hue-á khuànn sòo-hue-á, lâng i tsi̍t sing-khu pe̍h-sut-sut, hōo tsú-lâng a-biāu ka tshuā-tshut tshuā-ji̍p, tsiok ba̍k-khang tshiah--ê, tsi̍t-sî-ê khí-tòo-hiân, i tio̍h siūnn tsi̍t tshut kan-kuí-pōo, beh hōo sòo-hue-á hó-khuànn.",,
,佇洗衫機內底，伊就下性命弄家己的衫佮裙，予色水攏吐吐出來，順著衫槽khut仔tih轉踅的當中，七噴(phùn)八噴，三tòo四，甲素花仔規身軀全是五彩色的、花疤lí貓。,"Tī sé-sann-ki lāi-té, i to7 hē-sìnn-miā lāng ka-kī-ê sann kah kûn, hōo sik-tsuí lóng thóo-thóo tshut-lâi, sūn-tio̍h sann-tsô-khut-á tih tńg se̍h-ê tang-tiong, tshit-phùn-peh-phùn, sann-tòo-sì, kah sòo-hue-á kui sing-khu tsuân-sī gōo-tshái-sik--ê 、 hue-pa-lí-niau.",,
,素花仔苦苦ka哀求，講伊莫遐無天良；毋通做彼款損(sńg)命命、遐損斷人的惡毒步、失德代。,"sòo-hue-á khóo-khóo ka ai-kiû, kóng i mia3 hiah bô thian-liông；M̄-thang tsò hit-khuán sńg-miā-miā, hiah sún-tuān-lâng ê ok-to̍k-pōo, sit-tik tāi.",,
,伊愈咻喝、角花仔愈刁致故；噴(phùn)甲素花仔全身無一跡是白的，按呢才露出ka̋ng創贏的奸雄笑……。,"I jú hiu-huah, kak-hue-á jú thiau-tì-kòo；Phùn-kah sòo-hue-á tsuân-sin bô tsi̍t jiah sī pe̍h ê, án-ne tsiah lōo-tshut ka̋ng tshòng iânn ê kan-hiông-tshiò…….",,
,可憐代呀可憐代！素花仔這陣hoo 甲無成一領衫樣，伊那看家己那傷心；現不現，屈(khut)佇槽仔內底，叫天、天袂應，叫地、地袂答，煞一直大哭大吼。,"Khó-liân-tāi a2 khó-liân-tāi! Sòo-hue-á tsit-tsūn hoo kah bô-sîng tsi̍t niá sann iūnn, i ná khuànn ka-kī ná siong-sim；Hiān put hiān, khut tī tsô-á lāi-té, kiò thinn, thinn bē ìn, kiò tē, tē bē tap, suah it-ti̍t tuā khàu tuā háu.",,
,阿妙共in洗好勢，看見素花仔哪會變甲花疤貍lí貓，就誠受氣，隨共擲(tàn)帶糞埽桶裡。,"A-biāu kā in sé hó-sè, khuànn-kìnn sòo-hue-á ná-ē piàn-kah hue-pa-lí-niau, tō tsiânn siū-khì, suî-kā tàn-tài pùn-sò-tháng--lí.",,
,益角花仔看一下，暢甲掠袂牢，佇想講：「uâ！這聲予我創一下有夠媠氣的，這步用了袂bái，此去阿妙就干焦佮意我一个啦呼(hòo)！哈、哈、哈……」。,"Iah kak-hue-á khuànn--tsi̍t-ē, thiòng-kah lia̍h bē-tiâu, tī siūnn kóng : "" uâ! Tsit-siann hōo--guá tshòng--tsi̍t-ē ū-kàu suí-khuì--ê, tsit-pōo īng-liáu bē bái, tshú khì a-biāu tō kan-na kah-ì guá tsi̍t ê--lah hòo! Ha, ha, ha……"".",,
,阿妙紲落又閣共角花仔搦(la̍k)起來，面仔tsiâu lik色，大叫一聲：「hânn！今(tann)去了了矣，連這領也(ā)退色？退甲袂孝孤得……，鮮豔的色水攏無去矣，我挃(tih)欲創啥？」講煞，也順紲共伊擲(tàn)落去糞埽桶裡。,"A-biāu suà-loh iū koh kā kak-hue-á la̍k khí--lâi, bīn-á tsiâu lik-sik, tuā-kiò tsi̍t siann : "" hânn! tann khì liáu-liáu--ah, liân tsit niá ā thè-sik？ Thè kah bē-hàu-koo-tit……, sián-iām ê sik-tsuí lóng bô khì--ah, guá ti̍h beh tshòng siánn？"" kóng-suah , iā sūn-suà kā-i tàn lo̍h-khì pùn-sò-tháng--lí.",,
,角花仔的奸笑聲無去矣，一个面若鳥胘(kiān)咧，現此時全身攏痠疼(大概吐傷濟的款)，皮肉變甲白phú白phú，一絲仔氣力都無，徛袂牢地、軟荍荍(siô ×)䖙 (the)佇桶仔內。,"Kak-hue-á ê kan-tshiò-siann bô khì--ah, tsi̍t ê bīn nā tsiáu-kiān--leh, hiān-tshú-sî tsuân-sin lóng sng-thiànn ( tāi-khài thóo siunn tsē ê khuán ), phê-bah piàn-kah pe̍h-phú-pe̍h-phú, tsi̍t-si-á khuì-la̍t to bô, khiā bē tiâu tē, nńg-siô-siô the tī tháng-á-lāi.",,
,益素花仔伊呢(neh)？人伊腹腸誠有，隨踏倚去共捋(lua̍h)胸坎，掠筋路，按呢才沓沓仔得(tik)定落來。,"Iah sòo-hue-á i --neh? Lâng i pak-tn̂g tsiânn ū, suî ta̍h-uá khì kā lua̍h hing-khám, lia̍h kin-lōo, án-ne tsiah ta̍uh-ta̍uh-á tik-tiānn--lo̍h-lâi.",,
,元氣有矣！喘氣順矣！這當陣，角花仔真反悔對伊下毒手，一直共會(huē)失禮、求寬諒，兩个才握 (at) 手講和。,"Guân-khì ū--ah! Tshuán-khuì sūn--ah! Tsit tàng tsun7, kak-hue-á tsin huán-hué tuì i hē-to̍k-tshiú, it-ti̍t kā huē-sit-lé , kiû khuann-liōng, nn̄g-ê tsiah at-tshiú kóng-hô.",,
,隔轉工下晝，in同齊hőng捙到(tshia kàu)糞埽場裡。下晡時仔，日頭炎熱，臭味滿四界。,"Keh tńg kang ē-tàu, in tâng-tsê hőng tshia kàu pùn-sò-tiûnn--lí. Ē-poo sî-á, ji̍t-thâu iām-jua̍h, tshàu-bī muá-sì-kuè.",,
,在場的害物(mih)仔，攏是huâi癩ko爛癆(nuā-lô)、生頭發尾、瘸跤破相、uai-ko-tshī-tshua̍h，看著活欲起雞母皮……。,"Tsāi-tiûnn ê hāi-mih-á, lóng-sī huâi thái-ko nuā-lô, senn-thâu-huat-bué , khê-kha phuà-siùnn , uai-ko-tshī-tshua̍h, khuànn--tio̍h ua̍h-beh khí ke-bó-phuê…….",,
,蹛這款的所在有夠齷齪(ak- tsak)，無破病嘛會硬(ngī)去予臭味激死。,"Tuà tsit-khuán ê sóo-tsāi ū-kàu ak-tsak, bô phuà-pēnn mā ē ngī khì hōo tshàu-bī kik-sí.",,
,佳哉仔佳哉，到甲欲暗仔，有一个收歹銅舊錫的阿姨，看in猶閣媠媠咧，就隨共抾(khioh)走。,"Ka-tsài-á-kai-tsài, kàu-kah beh-àm-á, ū tsi̍t ê siu phái-tâng-kū-siah ê a-î, khuànn in iáu koh suí-suí--leh, tō suî-kā khioh tsáu.",,
,這个有疼心的阿姨，閣共in重(tîng)洗身軀一擺，曝(pha̍k)焦了後，提熨斗共熨甲像新的仝款，精差色水有較失(sit)。,"Tsit ê ū-thiànn-sim ê a-î, koh kā in tîng sé-sing-khu tsi̍t pái, pha̍k ta liáu-āu, the̍h ut-táu kā ut kah tshiūnn sin ê kāng-khuán, tsing-tsha sik-tsuí ū-khah sit.",,
,當伊共in提予家己的查某囝的時陣，是歡喜甲那行那蹌(tshíng)跤……，益角花仔佮素花仔，兩个一下相對看，煞規面笑吻吻(bún-bún)的花蕊，一蕊一蕊一直浮出來……。,"Tòng i kā in the̍h hōo ka-kī ê tsa-bóo-kiánn ê sî-tsūn, sī huann-hí-kah ná kiânn ná tshíng kha……, iah kak-hue-á kah sòo-hue-á, nn̄g ê tsi̍t-ē sio tuì-khuànn, suah kui-bīn tshiò-bún-bún ê hue-luí, tsi̍t-luí-tsi̍t-luí it-ti̍t phû tshut-lâi…….",,
